date,"TeamQuest Sp z o.o.","Intel Corporation","Akamai Technologies",WebInterpret,Nokia,"Sii Sp. z. o. o.","Credit Suisse",IBM,"CPL Jobs","Dyna Consulting",Cpljobs,Amazon,"Grupa Onet.pl SA","mBank S.A., pobočka zahraničnej banky","NBC Sp. z o.o.","See More",Cyclad,"eSKY.pl S.A.","ING Bank Śląski","Nokia Networks","Grand Parade","Graphics Co",Accenture,TomTom
2015-05-28,,13,7,,,,,6,,,,,,,,,,,,9,,,,
2015-05-29,,13,7,,,,,7,,,,,,,,,,,,9,,,,
2015-05-30,,13,7,,,,,7,,,,,,,,,,,,9,,,,
2015-05-31,,13,7,,,,,7,,,,,,,,,,,,9,,,,
2015-06-01,,13,6,,,,,7,,,,,,,,,,,,8,,,,
2015-06-02,,13,6,,,,,7,,,,,,,,,,,,8,,,,
2015-06-03,,13,7,,,,,7,,,,,,,,,,,,8,,,,
2015-06-04,,13,7,,,,,7,,,,6,,,,5,,,,8,,,,5
2015-06-05,,11,7,,,,,7,,,,6,,,,5,,,,8,,,,5
2015-06-06,,11,7,,,,,7,,,,6,,,,5,,,,8,,,,5
2015-06-07,,11,7,,,,,7,,,,6,,,,5,,,,8,,,,5
2015-06-08,,11,7,,,,,7,,,,6,,,,6,,,,8,,,,6
2015-06-09,,12,7,,,,,7,,,,6,,,,,,,,8,,,,
2015-06-10,,11,7,,,,,7,,,,6,,,,,,,,8,,,,
2015-06-11,,12,7,,,,,7,,,,6,,,,,,,,8,,,,
2015-06-12,,13,7,,,,,7,,,,6,,,,,,,,8,,,,
2015-06-13,,13,7,,,,,7,,,,6,,,,,,,,8,,,,
2015-06-14,,13,7,,,,,7,,,,6,,,,,,,,8,,,,
2015-06-15,,13,7,,,,,7,,,,6,,,,5,,,,8,,,,5
2015-06-16,,13,7,,,,,7,,,,5,,,,5,,,,8,,,,5
2015-06-17,,16,7,,,,,5,,,,7,,,,5,,,,7,,,,5
2015-06-18,,16,7,,,,,5,,,,6,,,,5,,,,7,,,,5
2015-06-19,,16,7,,,,,5,,,,6,,,,5,,,,7,,,,5
2015-06-20,,16,7,,,,,5,,,,6,,,,5,,,,7,,,,5
2015-06-21,,16,7,,,,,5,,,,6,,,,5,,,,7,,,,5
2015-06-22,,15,,,,,,5,,,,6,,,,,,,,7,,,,5
2015-06-23,,15,6,,,,,5,,,,,,,,,,,,,,,,5
2015-06-24,,14,6,,,,,5,,,,,,,,,,,,,,,,5
2015-06-25,,13,6,,,,,5,,,,6,,,,,,,,,,,,5
2015-06-26,,14,7,,,,5,,,,,,,,,,,,,6,,6,,
2015-06-27,113,24,7,,,7,12,7,,,,,8,,7,5,7,7,6,6,6,6,5,
2015-06-28,153,26,20,16,13,12,12,11,9,,10,,8,8,,7,7,7,7,,,,,
2015-06-29,133,26,19,16,13,13,12,11,11,10,9,8,8,8,8,8,,,,,,,,
