date,Indra,Deloitte,Oracle,SAS
2015-05-28,,10,,
2015-05-29,,10,,
2015-05-30,,10,,
2015-05-31,,10,,
2015-06-01,,10,,
2015-06-02,,9,,
2015-06-03,,9,,
2015-06-04,,5,5,
2015-06-05,,9,7,5
2015-06-06,,9,7,5
2015-06-07,,9,7,5
2015-06-08,,10,,
2015-06-09,5,11,7,7
2015-06-10,5,10,,
2015-06-11,5,11,5,7
2015-06-12,5,9,5,7
2015-06-13,5,9,,
2015-06-14,5,9,,7
2015-06-15,5,9,,
2015-06-16,6,9,,
2015-06-17,6,9,,
2015-06-18,6,9,,
2015-06-19,6,9,,
2015-06-20,6,9,5,7
2015-06-21,6,9,,
2015-06-22,6,9,,
2015-06-23,6,9,6,6
2015-06-24,6,9,,
2015-06-25,6,9,,
2015-06-26,6,9,5,
2015-06-27,6,9,5,
2015-06-28,6,8,5,
2015-06-29,6,8,,
2015-06-30,6,8,5,6
2015-07-01,6,8,5,6
2015-07-02,8,8,6,
2015-07-03,9,8,,
2015-07-04,9,8,,
