date,Warsaw,Cracow,Poznan,Wroclaw,Lodz,Wloclawek,"Silesian District","Poland District","See More"
2015-06-26,13,,,7,,,,,
2015-06-27,46,10,5,18,7,7,,,5
2015-06-28,63,12,5,30,8,7,5,6,5
2015-06-29,73,6,,30,9,9,7,6,6
2015-06-30,68,6,,31,10,9,7,6,6
2015-07-01,75,5,,33,11,8,7,5,5
2015-07-04,,,5,,,,,,
2015-07-05,,,5,,,,,,
2015-07-07,87,,5,,,,,,
2015-07-08,93,11,,,,,,,
2015-07-09,86,11,5,,,,,,
2015-07-10,94,11,5,,,,,,
2015-07-11,95,13,,,,,,,
2015-07-12,101,13,,,,,,,
2015-07-13,74,15,,,,,,,
2015-07-14,75,15,,,,,,,
2015-07-15,74,15,,,,,,,
2015-07-16,75,15,,,,,,,
2015-07-17,74,14,,,,,,,
2015-07-18,75,14,,,,,,,
2015-07-19,74,16,,,,,,,
2015-07-20,68,16,,,,,,,
