date,Warsaw,Lodz,"Lower Silesian District",Cracow,"Poland District",Wroclaw,"Pomeranian District","Silesian District","See More"
2015-06-27,21,,8,5,,,,5,
2015-06-28,37,,8,6,6,7,6,5,5
2015-06-29,48,6,9,8,6,11,6,6,6
2015-06-30,50,7,9,9,8,11,7,6,6
2015-07-01,47,7,9,9,8,8,7,6,6
2015-07-02,,7,,,,,,,
2015-07-03,,7,,,,,,,
2015-07-04,,7,,,,,,,
2015-07-05,,7,,,,,,,
2015-07-07,,8,,,,,,,
2015-07-08,,8,,,,,,,
2015-07-09,,7,,,,,,,
2015-07-10,56,7,,,,,,,
2015-07-11,56,7,,,,,,,
2015-07-12,58,7,,,,,,,
2015-07-13,51,6,,,,,,,
2015-07-14,52,6,,,,,,,
2015-07-15,51,6,,,,,,,
2015-07-16,52,5,,,,,,,
