date,Warsaw,Lodz,"Poland District","Silesian District","Pomeranian District",Wroclaw,"See More"
2015-06-26,7,,,,,,
2015-06-27,21,,5,,,,
2015-06-28,30,,6,5,,,
2015-06-29,36,,7,6,5,5,
2015-06-30,37,6,8,6,5,5,5
2015-07-01,38,6,9,7,5,,
2015-07-02,,6,9,,,,
2015-07-03,,6,10,,,,
2015-07-04,,6,10,,,,
2015-07-05,,7,10,,,,
2015-07-08,40,7,9,,,,
2015-07-09,37,6,9,,,,
2015-07-10,37,6,9,,,,
2015-07-11,40,6,10,,,,
2015-07-12,39,6,10,,,,
2015-07-13,33,6,9,,,,
2015-07-14,33,6,9,,,,
2015-07-15,35,6,,,,,
