date,Wroclaw,Warsaw,"Pomeranian District"
2015-06-26,,6,
2015-06-27,7,21,5
2015-06-28,14,25,6
2015-06-29,13,26,7
2015-06-30,12,24,6
2015-07-01,12,25,6
2015-07-02,12,,
2015-07-03,13,,
