date,Stockholm,"Stockholm County",Gothenburg
2015-05-28,11,,
2015-05-29,13,,
2015-05-30,13,,
2015-05-31,13,,
2015-06-01,13,,
2015-06-02,13,,
2015-06-03,12,,
2015-06-04,12,,
2015-06-05,12,,
2015-06-06,12,,
2015-06-07,11,,
2015-06-08,9,,
2015-06-09,9,,
2015-06-10,9,,
2015-06-11,9,,
2015-06-12,9,,
2015-06-13,9,,
2015-06-14,9,,
2015-06-15,11,,
2015-06-16,11,,
2015-06-17,10,,
2015-06-18,9,,
2015-06-19,9,,
2015-06-20,9,,
2015-06-21,9,,
2015-06-22,10,,
2015-06-23,9,,
2015-06-24,10,,
2015-06-25,11,,
2015-06-26,13,,5
2015-06-27,13,,5
2015-06-28,13,,5
2015-06-29,15,,5
2015-06-30,15,,6
2015-07-01,17,,7
2015-07-02,16,,6
2015-07-03,18,,6
2015-07-04,18,,6
2015-07-05,18,,6
2015-07-06,18,,5
2015-07-07,19,,6
2015-07-08,29,,6
2015-07-09,18,6,5
2015-07-10,22,7,5
2015-07-11,33,7,6
2015-07-12,32,7,6
2015-07-13,32,7,6
2015-07-14,29,7,6
2015-07-15,28,7,6
2015-07-16,30,6,6
2015-07-17,31,7,6
