date,"Personal Consult s.r.o.","PRAGMA personální agentura s.r.o.","Advantage Consulting, s.r.o.","JOB LEADER CZECH s.r.o.","SPINWARE s.r.o.","PARTNER 4 JOB s.r.o.","AGENTURA PLUS s.r.o.","Jobs Contact","PREDVYBER.CZ s. r. o.","European Active Projects Ltd. s.r.o.","See More","PROFI-MEN, s.r.o., personálně poradenská a vzdělávací společnost","People Consulting s.r.o."
2015-06-26,,,25,17,,,,,,,,,
2015-06-27,34,50,44,20,19,,,6,,5,5,,
2015-06-28,58,52,47,30,20,23,17,6,,5,5,81,5
2015-06-29,58,52,47,30,20,24,16,6,,5,5,81,5
2015-06-30,56,57,46,31,28,24,16,6,5,5,5,81,5
2015-07-01,92,55,37,31,28,14,7,6,5,5,5,,
