date,BIOVIA,"JPMorgan Chase &amp; Co.","Williams &amp; Glyn",Deloitte,"MLP Inc.",EY,NetApp,"British Gas",Sky,Xcede,"Lloyds Banking Group","techfolk Ltd","Royal Bank of Scotland","Bloomberg LP","QA Apprenticeships","See More",Tectrade,"Amazon UK","Do-it Trust",Hays,G4S,"Dun &amp; Bradstreet"
2015-03-11,59,17,,,18,18,17,,15,15,13,,,11,10,10,10,11,,12,14,20
2015-03-12,59,18,,21,17,18,19,,16,15,13,,,11,10,10,10,11,,11,12,
2015-03-16,59,22,22,21,24,18,21,,16,15,13,12,,10,,10,10,11,,10,,
2015-03-18,59,22,26,21,17,19,18,,14,15,13,15,,10,10,10,10,,10,,,
2015-03-18,59,22,26,21,18,19,18,,14,14,13,15,,10,10,10,10,,10,,,
2015-03-19,59,23,26,21,11,19,15,,16,13,13,12,10,10,11,10,10,,,,,
2015-03-20,59,22,22,22,24,18,,15,16,13,13,12,,11,11,10,10,10,,,,
2015-03-21,59,24,26,21,20,19,15,15,16,13,13,12,10,11,11,10,,,,,,
2015-03-22,59,24,26,21,20,19,15,15,16,13,13,12,10,11,11,10,,,,,,
2015-03-23,59,26,26,22,20,19,15,15,16,13,13,12,11,11,11,11,,,,,,
2015-03-24,59,28,26,22,21,19,15,15,14,13,13,12,11,11,11,11,,,,,,
