date,Antwerp,Brussels,Gent,Bruges
2015-05-28,45,29,6,5
2015-05-28,47,29,7,5
2015-05-29,48,28,7,6
2015-05-30,48,27,6,5
2015-05-31,47,26,6,5
2015-06-01,50,30,6,5
2015-06-02,53,30,6,5
2015-06-03,54,30,7,6
2015-06-04,58,31,10,6
2015-06-05,57,33,10,7
2015-06-06,56,30,10,7
2015-06-07,56,30,10,7
2015-06-08,60,28,10,7
2015-06-09,61,28,11,7
2015-06-10,61,27,12,7
2015-06-11,57,26,14,8
2015-06-12,57,24,14,7
2015-06-13,57,24,14,7
2015-06-14,55,24,14,7
2015-06-15,57,26,15,6
2015-06-16,57,28,17,8
2015-06-17,60,27,16,8
2015-06-18,58,25,14,8
2015-06-19,59,26,14,8
2015-06-20,58,26,13,7
2015-06-21,58,25,13,7
2015-06-22,61,25,13,7
2015-06-23,58,24,14,10
2015-06-24,60,27,14,10
2015-06-25,58,25,13,11
2015-06-26,62,26,12,10
2015-06-27,82,38,15,11
2015-06-28,83,41,15,11
2015-06-29,87,44,15,10
2015-06-30,88,46,17,10
2015-07-01,140,49,16,11
2015-07-02,95,51,17,11
