date,Amsterdam,Eindhoven,"The Hague",Utrecht,Rotterdam,"Almere Stad",Nijmegen,Apeldoorn,"See More",Zwolle,Groningen,Enschede,Tilburg
2015-05-28,72,16,16,7,5,,,,5,5,,,
2015-05-28,73,16,16,7,5,,,,5,5,,,
2015-05-29,75,16,16,11,5,,,,,,,,
2015-05-30,74,15,16,11,5,,,,,,,,
2015-05-31,71,16,16,11,5,,,,,,,,
2015-06-01,70,14,16,12,5,,,,,,,,
2015-06-02,73,12,16,12,6,,,,,,,,
2015-06-03,76,12,17,13,6,,,,,,,,
2015-06-04,73,12,17,15,6,,,,,,,,
2015-06-05,74,12,15,18,6,,,,,,,,
2015-06-06,74,12,14,17,6,,,,,,,,
2015-06-07,68,12,12,17,6,,,,,,,,
2015-06-08,71,14,12,19,6,,,,,,,,
2015-06-09,73,14,10,19,6,,,,,,,,
2015-06-10,73,15,10,19,6,,,,,,,,
2015-06-11,71,17,10,19,8,,,,,,,,
2015-06-12,69,17,10,19,10,,,,,,,,
2015-06-13,69,16,10,19,8,,,,,,,,
2015-06-14,68,16,9,18,8,,,,,,,,
2015-06-15,70,18,8,16,8,,,,,,,,
2015-06-16,74,18,8,17,8,,,,,,,,
2015-06-17,71,16,9,17,8,,,,,,,,
2015-06-18,70,17,9,17,7,,,,,,,,
2015-06-19,67,17,10,18,7,,,,,,,,
2015-06-20,64,17,10,16,5,,,,,,,,
2015-06-21,64,17,10,16,5,,,,,,,,
2015-06-22,64,13,11,17,5,,,,,,,,
2015-06-23,67,14,10,17,6,,,,,,,,
2015-06-24,69,15,11,16,6,,,,,,,,
2015-06-25,65,14,9,16,6,,,,,,,,
2015-06-26,71,14,11,23,6,,,,6,7,6,15,
2015-06-27,99,30,23,31,15,7,8,5,5,13,9,18,
2015-06-28,110,30,24,36,16,7,8,6,6,13,9,18,
2015-06-29,121,37,26,36,17,9,8,6,5,16,10,17,5
2015-06-30,121,37,25,37,20,10,8,,5,15,13,17,5
2015-07-01,119,39,26,34,22,12,8,6,6,16,13,16,26
2015-07-02,120,37,26,34,22,11,8,6,6,16,12,,
2015-07-03,120,34,22,32,23,11,8,6,6,16,9,18,
2015-07-04,123,34,22,32,23,11,8,5,5,16,9,17,
2015-07-05,123,35,23,31,23,11,8,5,5,16,8,16,
2015-07-07,141,40,35,34,36,11,13,5,5,17,10,,
2015-07-08,181,47,42,49,58,18,17,5,5,22,10,18,
2015-07-09,185,46,43,47,57,17,16,,11,18,11,18,
2015-07-10,196,44,43,47,55,17,15,,11,18,11,18,
2015-07-11,199,45,49,48,58,17,15,,10,15,10,18,
2015-07-12,197,45,48,48,60,17,14,,11,15,11,18,
2015-07-13,201,46,47,49,60,20,15,,11,15,11,17,
2015-07-14,211,48,51,49,59,20,16,,12,,12,16,
2015-07-15,206,49,51,47,59,20,16,,12,15,12,16,
2015-07-16,214,57,48,47,60,21,16,,11,20,11,17,
2015-07-17,213,58,48,47,61,21,16,,11,19,11,16,
2015-07-18,204,55,47,41,57,19,14,,8,18,8,17,
2015-07-19,204,54,48,41,55,19,14,,8,18,8,17,
2015-07-20,215,57,50,44,55,15,17,8,8,,9,17,
2015-07-21,160,41,24,24,19,10,8,5,5,11,9,,
2015-07-22,158,44,27,27,21,11,10,6,6,,,,
2015-07-23,158,44,27,27,20,13,9,7,7,,,,
