date,Cambridge,London
2015-03-11,7,
2015-03-16,10,
2015-03-18,10,
2015-03-18,9,
2015-03-19,9,
2015-03-20,11,
2015-03-21,11,
2015-03-22,11,
2015-03-23,7,
2015-03-24,8,5
2015-03-25,7,5
2015-03-26,10,5
2015-03-27,7,6
2015-03-28,9,5
2015-03-29,9,5
2015-03-30,11,
2015-03-31,9,
2015-04-01,9,
2015-04-02,8,
2015-04-03,9,
2015-04-04,9,
2015-04-05,9,
2015-04-06,11,
2015-04-07,11,
2015-04-08,9,
2015-04-09,8,
2015-04-10,10,
2015-04-11,10,
2015-04-12,10,
2015-04-13,9,
2015-04-14,9,
2015-04-15,9,
2015-04-16,8,
2015-04-17,10,
2015-04-18,10,
2015-04-19,10,5
2015-04-20,8,5
2015-04-21,10,
2015-04-22,9,
2015-04-23,9,
2015-04-24,8,
2015-04-25,8,
2015-04-26,8,
2015-04-27,8,
2015-04-28,8,
2015-04-29,8,
2015-04-30,8,
2015-05-01,8,
2015-05-02,8,
2015-05-03,8,5
2015-05-04,8,5
2015-05-05,8,5
2015-05-06,8,5
2015-05-07,8,5
2015-05-08,8,
2015-05-09,8,
2015-05-10,8,
2015-05-11,8,
2015-05-12,8,
2015-05-13,8,
2015-05-14,8,
2015-05-15,8,
2015-05-16,8,
2015-05-17,8,
2015-05-18,8,
2015-05-19,8,
2015-05-20,8,
2015-05-21,8,
2015-05-22,8,
2015-05-23,8,
2015-05-24,8,
2015-05-25,8,
2015-05-26,8,
2015-05-27,8,
2015-05-27,8,
2015-05-28,8,
2015-05-29,9,
2015-05-30,9,
2015-05-31,9,
2015-06-01,9,
2015-06-02,9,
2015-06-03,9,
2015-06-04,9,
2015-06-05,8,
2015-06-06,8,
2015-06-07,8,
2015-06-08,8,
2015-06-09,8,
2015-06-10,8,
2015-06-11,8,
2015-06-12,8,
2015-06-13,8,
2015-06-14,8,
2015-06-15,8,
2015-06-16,8,
2015-06-17,8,
