date,London,Reading,Edinburgh,Manchester,Guildford,Belfast,Birmingham,Northampton,"See More",Swindon,Coventry
2015-03-11,57,6,,,,,,,,,
2015-03-12,63,6,,,,,,,,,
2015-03-16,68,6,,,,,,,,,
2015-03-18,67,,,,,,,,,,
2015-03-18,68,5,,,,,,,,,
2015-03-19,74,7,,,,,,,,,
2015-03-20,75,7,,,,,,,,,
2015-03-21,75,7,,,,,,,,,
2015-03-22,73,7,,,,,,,,,
2015-03-23,75,6,,,,,,,,,
2015-03-24,71,6,,,,,,,,,
2015-03-25,71,5,,,,,,,,,
2015-03-26,71,7,,,,,,,,,
2015-03-27,72,7,,,,,,,,,
2015-03-28,65,7,,,,,,,,,
2015-03-29,62,7,,,,,,,,,
2015-03-30,65,7,,,,,,,,,
2015-03-31,71,13,,,,,,,,,
2015-04-01,69,15,,,,,,,,,
2015-04-02,73,17,,,,,,,,,
2015-04-03,73,17,,,,,,,,,
2015-04-04,74,17,,,,,,,,,
2015-04-05,69,17,,,,,,,,,
2015-04-06,71,17,,,,,,,,,
2015-04-07,71,17,,,,,,,,,
2015-04-08,72,18,,,,,,,,,
2015-04-09,64,18,,,,,,,,,
2015-04-10,66,19,,,,,,,,,
2015-04-11,70,19,,,,,,,,,
2015-04-12,69,19,,,,,,,,,
2015-04-13,65,19,,,,,,,,,
2015-04-14,68,19,,,,,,,,,
2015-04-15,66,19,,,,,,,,,
2015-04-16,68,20,,,,,,,,,
2015-04-17,66,20,,,,,,,,,
2015-04-18,86,23,,,5,,,7,,,
2015-04-19,93,25,,,,,,7,,,
2015-04-20,97,25,,,,,,6,,,
2015-04-21,77,19,,,,,,,,,
2015-04-22,79,21,,,5,,,,,,
2015-04-23,79,20,,,7,,,,,,
2015-04-24,79,19,,,7,,,,,,
2015-04-25,79,22,,,6,,,,,,
2015-04-26,78,22,,,6,,,,,,
2015-04-27,79,21,,,7,,,,,,
2015-04-28,79,19,,,7,,,,,,
2015-04-29,79,18,,,7,,,,,,
2015-04-30,77,18,,,7,,,,,,
2015-05-01,70,15,,,7,,,,,,
2015-05-02,72,15,,,7,,,,,,
2015-05-03,70,15,,,7,,,,,,
2015-05-04,71,15,,5,7,,,,,,
2015-05-05,71,15,,,7,,,,,,
2015-05-06,73,13,,5,7,,,,,,
2015-05-07,69,13,5,7,7,,,,,,
2015-05-08,68,14,,7,7,,,,,,
2015-05-09,71,13,,7,6,,,,,,
2015-05-10,70,12,,7,6,,,,,,
2015-05-11,68,12,,7,6,,,,,,
2015-05-12,66,12,,8,5,,,,,5,
2015-05-13,71,12,,7,,,,,,5,
2015-05-14,71,12,,8,,,,,,5,5
2015-05-15,75,13,,8,,,,,,5,5
2015-05-16,73,13,,8,,16,,5,5,5,5
2015-05-17,71,13,,8,,17,,5,5,5,5
2015-05-18,79,13,,8,,17,,,,,
2015-05-19,81,17,,7,,17,,5,,,
2015-05-20,88,20,,8,,19,,5,5,,5
2015-05-21,78,20,,7,,16,,5,5,6,
2015-05-22,79,20,5,7,,16,,5,5,5,
2015-05-23,76,21,5,7,,16,,5,5,5,
2015-05-24,76,21,5,7,,17,,5,5,5,
2015-05-25,76,23,5,7,,17,,5,5,5,
2015-05-26,75,23,5,7,,17,,5,5,,
2015-05-27,74,23,5,,,17,,5,,,
2015-05-27,73,23,5,,,17,,5,,,
2015-05-28,73,23,,,,17,,,,,
2015-05-29,70,23,,,,16,,,,,
2015-05-30,64,24,,,,17,,,,,
2015-05-31,63,24,,,,17,,,,,
2015-06-01,59,24,,,,17,,,,,
2015-06-02,59,24,,,,16,,,,,
2015-06-03,59,24,,,,16,,,,,
2015-06-04,63,29,5,,,17,,,,,
2015-06-05,64,31,5,,,17,,,,,
2015-06-06,64,32,,,,17,5,,,,
2015-06-07,65,32,,,,17,5,,,,
2015-06-08,58,32,7,7,,,,,,,
2015-06-09,56,33,,,5,16,7,,,,
2015-06-10,61,34,7,7,5,,,,,,
2015-06-11,50,34,5,,5,,,,,,
2015-06-12,50,33,,,5,16,17,,,,
2015-06-13,48,33,,,5,,,,,,
2015-06-14,50,34,,,5,14,15,,,,
2015-06-15,49,34,6,5,5,,,,,,
2015-06-16,54,34,,,5,16,15,,,,
2015-06-17,55,33,5,5,5,,,,,,
2015-06-18,59,33,6,5,5,,,,,,
2015-06-19,60,33,7,6,5,,,,,,
