date,Paris,Lyon,Toulouse,Lille
2015-05-27,29,,,7
2015-05-27,30,,,7
2015-05-28,35,,,7
2015-05-28,36,,,7
2015-05-29,36,,,7
2015-05-30,29,,,7
2015-05-31,32,,,7
2015-06-01,32,,,8
2015-06-02,32,,,8
2015-06-03,39,,,7
2015-06-04,38,,,7
2015-06-05,36,,,7
2015-06-06,36,,,7
2015-06-07,35,,,6
2015-06-08,32,,,5
2015-06-09,33,,,5
2015-06-10,36,,5,8
2015-06-11,37,,5,9
2015-06-12,36,,6,7
2015-06-13,36,,7,7
2015-06-14,35,,7,7
2015-06-15,36,,8,6
2015-06-16,36,,8,6
2015-06-17,37,,9,8
2015-06-18,39,,7,9
2015-06-19,36,,6,6
2015-06-20,36,,5,7
2015-06-21,37,,6,8
2015-06-22,37,,6,8
2015-06-23,37,,6,7
2015-06-25,38,,5,
2015-06-26,40,,,5
2015-06-27,38,,,5
2015-06-28,37,,7,6
2015-06-29,36,,,7
2015-06-30,35,5,8,5
2015-07-01,34,6,8,6
2015-07-02,36,,,6
2015-07-03,39,,,6
2015-07-04,38,,,6
2015-07-05,38,,,6
2015-07-06,37,,11,6
2015-07-07,39,,10,6
2015-07-08,41,7,6,7
2015-07-09,40,9,10,5
2015-07-10,43,9,8,
2015-07-11,45,9,6,
2015-07-12,47,8,6,
2015-07-13,49,8,6,
2015-07-14,49,8,,
2015-07-15,50,11,,
2015-07-16,49,11,,
2015-07-17,50,9,,
2015-07-18,51,9,,
