date,Paris,Grenoble,Rennes,Montpellier,Nantes,Toulouse,Nice
2015-05-27,90,5,,,,17,
2015-05-27,90,5,,,,17,5
2015-05-28,92,5,,,,17,5
2015-05-28,91,5,,,,17,5
2015-05-29,97,5,,,,16,5
2015-05-30,96,,,,,,5
2015-05-31,96,5,,,,16,5
2015-06-01,105,5,,,,9,5
2015-06-02,107,,,,,,6
2015-06-03,112,,,,,,6
2015-06-04,119,8,,,,,6
2015-06-05,116,8,,,,,6
2015-06-06,114,7,,,,,6
2015-06-07,116,7,,,,,6
2015-06-08,114,8,,,,,5
2015-06-09,121,7,,,,6,5
2015-06-10,119,,,,,6,5
2015-06-11,117,,,,,6,5
2015-06-12,116,,,,,6,5
2015-06-13,115,7,,,,6,5
2015-06-14,118,6,,,,6,5
2015-06-15,119,8,,,,,5
2015-06-16,129,8,,,,,
2015-06-17,128,,,,,,
2015-06-18,121,,,,,,
2015-06-19,123,6,,,5,,
2015-06-20,126,,,,,,
2015-06-21,125,6,,,5,,
2015-06-22,120,6,,,,,
2015-06-23,121,,,,,,
2015-06-24,121,6,,,,,
2015-06-25,124,,,,,,
2015-06-26,121,,,,,,
2015-06-27,123,6,,,,,
2015-06-28,123,6,,,,,
2015-06-29,124,6,,,,,
2015-06-30,128,,,,,,
2015-07-01,126,6,,,5,,
2015-07-02,131,7,,,5,,
2015-07-03,132,7,7,,,,
2015-07-04,131,7,7,,,,
2015-07-05,135,7,7,,,,
2015-07-06,133,7,7,,,5,
2015-07-07,126,7,7,,5,5,
2015-07-08,131,7,7,,5,,
2015-07-09,128,8,7,,,,
2015-07-10,130,8,7,,,,
2015-07-11,131,7,6,,,,
2015-07-12,133,7,6,,5,,
2015-07-13,135,7,6,,,,
2015-07-14,133,7,6,5,,,
2015-07-15,134,6,6,5,,,
2015-07-16,133,6,6,5,,,
2015-07-17,132,7,6,5,,,
2015-07-18,132,7,6,5,,,
2015-07-19,132,7,6,5,,,
2015-07-20,133,7,6,5,,,
