date,Paris,Lyon,Lille,Toulouse,Rennes,Bordeaux,Marseille,Montpellier,Chambéry,Metz,Orléans,"Le Havre",Mulhouse,"See More",Nantes,Tours,Reims,Nice,Strasbourg,Grenoble,Saint-Étienne,Rouen,Rhone-Alpes,Bourges,Dijon,Pau,Limoges,"La Rochelle",Clermont-Ferrand
2015-05-27,283,43,22,16,15,22,14,,,,,,,10,18,,,10,11,,,15,,,,,10,10,11
2015-05-27,284,43,22,16,15,22,14,,,,,,,9,18,,,10,11,,,15,,,,,9,11,11
2015-05-28,280,41,23,12,16,20,13,,,,,,,9,18,,,9,11,,,18,,,,,9,10,11
2015-05-28,284,41,23,12,16,20,13,,,,,,,8,18,,,,11,,,18,,8,,,9,10,11
2015-05-29,307,48,22,12,17,21,16,,,,,,,9,19,,,11,13,,,17,,,9,,,10,11
2015-05-30,291,47,22,13,15,25,17,,,,,,,11,20,,,11,20,,,13,,,11,,,11,11
2015-05-31,293,51,25,14,14,24,17,,,,,,,11,23,,,11,19,,,16,,,12,,,11,11
2015-06-01,286,34,24,14,15,23,15,,,8,,,12,8,19,,,,12,,,16,,,9,,,,9
2015-06-02,290,34,26,17,15,25,15,,,9,,,12,9,19,,,,12,,,15,,,10,,,,9
2015-06-03,306,33,25,19,16,25,15,6,,,7,,13,6,,,,12,15,,,,,7,,7,,,
2015-06-04,324,33,24,22,15,28,15,,,,,,13,10,20,,,15,15,,,15,,,12,,,10,
2015-06-05,280,27,24,18,15,26,12,,,,,,11,10,15,,,11,11,10,,13,,,10,,,,
2015-06-06,282,24,24,20,14,25,12,,,,,,13,9,15,,,11,14,10,,11,,,9,,,,
2015-06-07,286,26,25,18,14,25,12,,,,,,12,9,14,,,10,15,10,,12,,,9,,,,
2015-06-08,280,26,25,19,11,22,12,,,,,,11,9,14,,,10,15,,9,13,,,9,,,,
2015-06-09,278,31,25,18,13,23,11,,,,,,14,8,17,,,10,15,8,,13,,,10,,,,
2015-06-10,281,32,25,19,13,23,13,5,,,7,,14,5,18,,,8,15,,,,,,,,,,
2015-06-11,278,32,25,15,16,23,14,,,,,,14,8,18,,,10,16,8,,13,,,,,8,,
2015-06-12,289,33,27,14,17,23,,,,,9,,14,9,18,,,11,16,,,,,,,,,,
2015-06-13,291,36,27,18,16,21,12,,,,,,10,9,17,,,12,16,9,11,12,,,,,,,
2015-06-14,279,32,27,17,16,20,13,,,,,,10,9,17,,,13,13,,10,13,,9,,,,,
2015-06-15,281,32,27,17,15,21,13,,,,,,10,10,19,,,13,14,,11,14,,,10,,,,
2015-06-16,289,32,26,19,14,21,15,,,,,,11,11,17,,,13,17,,11,13,,,11,,,,
2015-06-17,294,35,25,18,15,,,,,,9,,9,6,19,,,13,,8,,,,6,,7,,,
2015-06-18,299,36,24,24,18,21,15,,,,,,9,9,20,,,13,18,,11,13,,,11,,,,
2015-06-19,303,37,25,26,17,21,15,,,,,,14,11,23,,,14,17,,11,15,,,13,,,,
