date,Paris,Lille,Toulouse,Marseille,Brest,Lyon
2015-05-27,28,,,5,,
2015-05-27,28,,,5,,
2015-05-28,30,,,5,,
2015-05-28,30,,,5,,
2015-05-29,33,,,5,,
2015-05-30,33,,,5,,
2015-05-31,33,,,5,,
2015-06-01,32,,,5,,
2015-06-02,37,6,,6,,
2015-06-03,36,6,,6,,
2015-06-04,37,6,,7,,
2015-06-05,32,7,,6,,
2015-06-06,29,7,,6,,
2015-06-07,29,8,,5,,
2015-06-08,37,8,,5,,
2015-06-09,36,8,,,,
2015-06-10,34,8,,,,
2015-06-11,37,8,,,,
2015-06-12,36,8,,5,,
2015-06-13,36,8,,5,,
2015-06-14,36,8,,5,,
2015-06-15,36,8,,,,
2015-06-16,34,8,,,,
2015-06-17,27,8,,5,6,
2015-06-18,27,8,,5,6,
2015-06-19,28,8,,,6,
2015-06-20,30,8,,5,6,
2015-06-21,31,8,,5,6,
2015-06-22,27,8,,5,6,5
2015-06-23,29,8,,,6,
2015-06-25,30,,,,6,
2015-06-26,31,,,,,
2015-06-27,31,,,,,
2015-06-28,31,,,,,
2015-06-29,33,8,,5,,
2015-06-30,34,8,,,,
2015-07-01,35,8,5,,,
