date,Tyco,Proofpoint
2015-05-28,9,16
2015-05-29,9,16
2015-05-30,9,16
2015-05-31,9,16
2015-06-01,9,16
2015-06-02,9,16
2015-06-03,9,16
2015-06-04,9,21
2015-06-05,9,21
2015-06-06,9,21
2015-06-07,9,21
2015-06-08,9,21
2015-06-09,8,20
2015-06-10,8,20
2015-06-11,8,20
2015-06-12,8,20
2015-06-13,8,20
2015-06-14,8,20
2015-06-15,8,19
2015-06-16,8,18
2015-06-17,8,18
2015-06-18,8,18
2015-06-19,7,18
2015-06-20,7,18
2015-06-21,7,18
2015-06-22,7,18
2015-06-23,7,19
2015-06-24,7,20
2015-06-25,7,18
2015-06-26,8,18
2015-06-27,8,18
2015-06-28,8,18
2015-06-29,10,18
2015-06-30,10,17
2015-07-01,14,20
2015-07-02,17,19
2015-07-03,17,19
2015-07-04,17,19
2015-07-05,17,19
2015-07-07,21,20
2015-07-08,22,20
2015-07-09,22,19
2015-07-10,22,18
2015-07-11,22,18
2015-07-12,22,18
2015-07-13,22,18
2015-07-14,22,19
2015-07-15,22,19
2015-07-16,22,18
2015-07-17,22,16
2015-07-18,22,16
