date,Paris,Lyon,Nantes,Orléans,Bordeaux,Toulouse,"See More",Grenoble,Rennes,Limoges,Mulhouse,Strasbourg
2015-05-27,82,10,,,6,,,,,,,
2015-05-27,80,10,,,6,,,,,,,
2015-05-28,81,11,,,6,,,,,,,
2015-05-28,80,11,,,6,,,,,,,
2015-05-29,77,10,,,6,,,,,,,
2015-05-30,74,11,,,6,6,5,,5,,,5
2015-05-31,74,12,,,5,5,,,6,,,
2015-06-01,62,10,,,5,,,,,,,
2015-06-02,78,11,,,5,,,5,,,,5
2015-06-03,76,11,,,6,,5,5,5,,,6
2015-06-04,81,11,,,7,6,5,5,5,,,6
2015-06-05,85,10,,,6,7,5,5,,,,5
2015-06-06,67,9,,,5,,,,,,,
2015-06-07,82,11,,,6,7,,5,,,,
2015-06-08,86,12,,,6,6,,5,,,,
2015-06-09,91,11,,,6,7,5,5,5,,,
2015-06-10,90,11,5,,6,6,5,6,,,,
2015-06-11,89,11,,,6,5,,6,,,,
2015-06-12,79,9,,,6,,,,,,,
2015-06-13,78,9,,,6,,,,,,,
2015-06-14,77,9,,,6,,,,,,,
2015-06-15,92,11,,,6,6,,6,,,,
2015-06-16,92,9,,,6,7,,5,,,,
2015-06-17,85,5,,,6,,,,,,5,
2015-06-18,103,7,7,,7,5,5,7,,,5,
2015-06-19,87,7,,,6,,,,,,5,
2015-06-20,102,9,8,,7,,,7,,,,
2015-06-21,83,8,5,,6,,,,,,,
2015-06-22,97,9,9,,7,5,5,7,,,,
2015-06-23,79,8,5,,6,,,,,,,
2015-06-24,75,8,6,,7,5,,,,,,
2015-06-25,67,8,,,7,,,,,,,
2015-06-26,80,8,5,,7,6,5,6,,,,
2015-06-27,68,10,,,7,,,,,,,
2015-06-28,68,9,,,7,,,,,,,
2015-06-29,84,9,,,7,8,5,6,5,,,
2015-06-30,89,10,6,,7,7,5,7,6,5,,
2015-07-01,79,9,5,5,5,,5,5,,,,
2015-07-02,75,9,5,5,6,5,5,,,,,
2015-07-03,79,11,6,6,6,7,6,,,,,
2015-07-04,80,11,6,6,6,8,6,,,,,
2015-07-05,81,10,6,6,6,11,6,,,,,
2015-07-07,81,10,,6,5,,,,,,,
2015-07-08,87,12,,6,5,,,,,,,
2015-07-09,73,10,7,5,5,,,,,,,
2015-07-10,67,10,7,5,,10,,,,,,
2015-07-11,76,,7,5,5,13,,,,,,
2015-07-12,78,,7,6,6,13,,,,,,
2015-07-13,77,,7,5,6,12,,,,,,
2015-07-14,83,,7,5,6,12,,,,,,
2015-07-15,84,,8,6,7,12,,,,,,
2015-07-16,84,15,8,6,7,12,6,,,,,
2015-07-17,85,15,,7,7,13,,,,,,
2015-07-18,85,15,,7,7,12,,,,,,
2015-07-19,84,13,,6,7,12,,,,,,
2015-07-20,82,13,,6,7,12,,,,,,
2015-07-21,85,12,,6,6,13,,,,,,
2015-07-22,84,12,,6,6,14,,,,,,
2015-07-23,84,13,8,8,7,,,,,,,
