date,Paris,Lyon
2015-05-27,15,5
2015-05-27,15,5
2015-05-28,18,5
2015-05-28,18,5
2015-05-29,18,5
2015-05-30,18,5
2015-05-31,18,5
2015-06-01,20,5
2015-06-02,23,5
2015-06-03,23,5
2015-06-04,25,5
2015-06-05,25,5
2015-06-06,24,5
2015-06-07,24,
2015-06-08,25,5
2015-06-09,24,5
2015-06-10,26,5
2015-06-11,27,5
2015-06-12,23,5
2015-06-13,25,5
2015-06-14,25,
2015-06-15,25,
2015-06-16,26,
2015-06-17,26,
2015-06-18,27,
2015-06-19,28,
2015-06-20,30,
2015-06-21,29,
2015-06-22,30,
2015-06-23,30,
2015-06-24,29,
2015-06-25,25,
2015-06-26,27,
2015-06-27,27,
2015-06-28,28,
2015-06-29,29,
2015-06-30,31,
2015-07-01,30,
2015-07-02,30,
2015-07-03,30,
2015-07-04,30,
2015-07-05,30,
2015-07-06,30,
2015-07-07,29,
2015-07-08,28,
2015-07-09,26,
2015-07-10,25,
2015-07-11,23,
2015-07-12,22,
2015-07-13,22,
2015-07-14,22,
2015-07-15,23,
2015-07-16,23,
2015-07-17,23,
2015-07-18,23,
2015-07-19,23,
2015-07-20,23,
2015-07-21,23,
2015-07-22,22,
2015-07-23,20,
