date,"STR - Software per l&#39;edilizia",ESTAV-centro,"azienda Ospedaliero-Universitaria Careggi Firenze","A.Manzoni &amp; C. S.p.a."
2015-05-28,12,10,7,8
2015-05-29,12,10,7,8
2015-05-31,12,10,7,8
2015-06-01,12,10,7,8
2015-06-02,12,10,7,8
2015-06-03,12,10,7,8
2015-06-04,12,10,7,8
2015-06-06,12,10,7,8
2015-06-09,12,10,7,
2015-06-10,12,10,7,
2015-06-11,12,10,7,
2015-06-12,12,10,7,
2015-06-14,12,10,7,
2015-06-16,12,10,7,
2015-06-17,12,10,7,
2015-06-20,12,10,7,
2015-06-23,12,10,7,
2015-06-24,12,10,7,
2015-06-25,12,10,7,
