date,"Università per Stranieri di Perugia","Istituto Nazionale di Geofisica e Vulcanologia","Azienda Unita&#39; Sanitaria Locale Umbria 1","AZIENDA USL DI PESCARA","Ministero per la pubblica amministrazione e l&#39;innovazione","Provincia Autonoma di Bolzano","B.D.R. SRL","See More","Scalabrini Cadoppi &amp; Associati - Dottori Commercialisti e Revisori Contabili","Adecco Italia"
2015-05-28,64,47,19,12,8,7,5,5,13,5
2015-05-29,66,48,19,13,8,7,5,5,13,
2015-05-30,,,,,,,5,,,
2015-05-31,65,49,19,11,9,7,5,5,13,
2015-06-01,62,49,20,11,8,7,5,5,13,
2015-06-02,,,,,,,5,,,
2015-06-03,65,49,19,12,9,7,5,5,13,
2015-06-04,71,53,19,12,9,7,5,5,13,
2015-06-05,68,52,19,11,9,7,5,5,11,
2015-06-06,66,47,19,11,8,7,5,5,11,
2015-06-07,70,53,19,11,8,7,5,5,11,
2015-06-08,67,53,19,11,8,7,5,5,9,
2015-06-09,62,50,19,10,9,7,5,5,9,
2015-06-10,64,52,19,10,8,7,5,5,9,
2015-06-11,,,,,,,5,,,
2015-06-12,,,,,,,5,,,
2015-06-13,67,54,18,11,9,7,5,5,,
2015-06-14,,,,,,,5,,,
2015-06-15,,,,,,,5,,,
2015-06-16,,,,,,,5,,,
2015-06-17,65,51,19,11,9,7,6,6,,
