date,"Amazon Web Services","SOGETI Luxembourg",Amazon,"Amazon UK","Telindus Telecom"
2015-05-28,,,13,,
2015-05-28,,,13,,
2015-05-29,,,17,,
2015-05-30,,,21,20,
2015-05-31,,,41,19,
2015-06-01,,,41,19,
2015-06-02,,,41,19,
2015-06-03,,,41,20,
2015-06-04,,,43,23,
2015-06-05,,,43,23,
2015-06-06,,,43,23,
2015-06-07,,,43,23,
2015-06-08,,,43,22,
2015-06-09,,,41,21,
2015-06-10,,,41,21,
2015-06-11,,,41,21,
2015-06-12,,,42,21,
2015-06-13,,,42,20,
2015-06-14,,,41,20,
2015-06-15,5,,40,20,
2015-06-16,5,,39,20,
2015-06-17,,6,39,20,5
2015-06-18,,6,39,21,5
2015-06-19,,6,38,21,5
2015-06-20,,6,38,21,5
2015-06-21,,6,38,21,5
2015-06-22,,6,38,20,5
2015-06-23,,6,38,20,5
2015-06-24,,6,38,20,5
2015-06-25,,6,38,20,5
2015-06-26,,6,38,20,5
2015-06-27,,,38,20,5
2015-06-28,,,38,20,5
2015-06-29,5,5,38,20,5
2015-06-30,5,5,38,20,5
2015-07-01,5,5,37,19,5
2015-07-02,5,5,,,
