date,"Austria area"
2015-05-28,19
2015-05-28,18
2015-05-29,18
2015-05-30,18
2015-05-31,18
2015-06-01,17
2015-06-02,17
2015-06-03,17
2015-06-04,30
2015-06-05,30
2015-06-06,32
2015-06-07,32
2015-06-08,31
2015-06-09,31
2015-06-10,30
2015-06-11,31
2015-06-12,31
2015-06-13,33
2015-06-14,33
2015-06-15,34
2015-06-16,34
2015-06-17,33
2015-06-18,33
2015-06-19,32
2015-06-20,32
2015-06-21,32
2015-06-22,30
2015-06-23,31
2015-06-24,31
2015-06-25,32
2015-06-26,33
2015-06-27,33
2015-06-28,33
2015-06-29,34
