date,"Austria area"
2015-05-28,51
2015-05-28,51
2015-05-29,51
2015-05-30,50
2015-05-31,50
2015-06-01,49
2015-06-02,48
2015-06-03,47
2015-06-04,51
2015-06-05,54
2015-06-06,55
2015-06-07,54
2015-06-08,54
2015-06-09,57
2015-06-10,55
2015-06-11,54
2015-06-12,54
2015-06-13,54
2015-06-14,54
2015-06-15,51
2015-06-16,55
2015-06-17,58
2015-06-18,55
2015-06-19,56
2015-06-20,57
2015-06-21,57
2015-06-22,56
2015-06-23,58
2015-06-24,58
2015-06-25,57
2015-06-26,57
2015-06-27,56
2015-06-28,56
2015-06-29,56
2015-06-30,54
2015-07-01,55
2015-07-02,53
2015-07-03,54
2015-07-04,54
2015-07-05,54
2015-07-07,52
2015-07-08,54
2015-07-09,54
2015-07-10,54
2015-07-11,57
2015-07-12,57
2015-07-13,57
2015-07-14,57
2015-07-15,57
2015-07-16,57
2015-07-17,58
2015-07-18,58
2015-07-19,60
2015-07-21,59
