date,Atos,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai",Elsevier,Teradata,IBM,Splunk,"Rackspace, the #1 managed cloud company",Hays,Xcede,"IS Recruitment Ltd",Microsoft,Cisco,"Think Big, a Teradata Company","Expedia, Inc.",MuleSoft,"See More","TIBCO Software Inc.",Vodafone,"Medidata Solutions","British Gas","BAE Systems Applied Intelligence",Excelian,BlueGlue,"Talent International","CD IT Recruitment","Schneider Electric","Confidential Company - Undisclosed",GfK,Qubit.,Adobe,"Berico Technologies",Quantcast,"Transport for London",CenturyLink,"Altius: Understand | Model | Predict",DataSift,FICO™,"FICO™ | Decisions","Global {M}",FICO,Cloudera,"Cambridge Life Sciences Associates, LLC",mployability,"Digital Gurus | Digital Recruitment - Global","IC Resources","Saatchi &amp; Saatchi Synergize","Seagate Technology","Digital Gurus | Digital Recruitment London, Sydney &amp; Dubai","Rubicon Project","Thomson Reuters","Xpat Jobs.com","Job Board Enterprises BV",CareerBuilder.com,"Pivotal Software, Inc.",Sky,"KP Recruiting Group"
2015-04-16,,,20,40,19,,27,,15,,,54,,17,,14,,,,,,,,,,42,,,14,17,,,,,,21,,,,28,,,19,,,,,40,,18,,,,,,
2015-04-17,,,20,41,19,,27,,,,,65,,16,,14,,,,,,,,,,42,,,14,17,,,,,,21,,,,28,,,19,,,,,41,,18,,,18,,,
2015-04-18,,,20,40,19,,27,,,,,64,,,,17,,,,,,,,,,46,,,,18,,,,,,21,,,,28,,,19,,,,,41,,18,153,17,19,,,
2015-04-19,,,21,40,19,,27,,,,,66,,,,17,,,,,,,,,,46,,,,18,,,,,,22,,,,28,,,17,,,,,41,,17,260,24,18,,,
2015-04-20,,,21,39,19,,27,,,,,66,,,,17,,,,,,,,,,46,,,,18,,,,,,22,,,,28,,,17,,,,,41,,17,221,26,23,,,
2015-04-21,,,15,40,18,,28,,14,,,60,,14,,14,,,,,,,,,,46,,,14,19,,,,,,22,,,,28,,,18,,,,,41,,17,,,,,,
2015-04-22,,,15,38,18,,26,,14,,,60,,13,,13,,,,,,,,,,47,,,14,18,,,,,,22,,,,28,,,18,,,,,42,,16,,,,,,
2015-04-23,,,15,38,17,,26,,14,,,56,,12,,12,,,,,,,,,,46,,,14,18,,,,,,22,,,,27,,,18,,,,,41,,17,,,,,,
2015-04-24,,,15,38,17,,26,,14,,,57,,12,,12,,,,,,,,,,46,,,15,18,,,,,,22,,,,27,,,19,,,,,40,,16,,,,,,
2015-04-25,,,15,38,17,,25,,,,,57,,12,,12,,,,,,,,,,45,,,15,20,,13,,,,22,,,,27,,,20,,,,,40,,16,,,,,,
2015-04-26,,,14,38,17,,25,,,,,58,,12,,12,,,,,,,,,,45,,,15,20,,13,,,,23,,,,27,,,20,,,,,40,,14,,,,,,
2015-04-27,,,14,38,17,,24,,15,,,58,,,,13,,,,,,,,,,45,,,15,20,,13,,,,23,,,,27,,,20,,,,,40,,13,,,,,,
2015-04-28,,,14,38,17,13,24,,14,,,56,,,,13,,,,,,,,,,45,,,15,20,,18,,,,24,,,,27,,,20,,,,,40,,,,,,,,
2015-04-29,,,,38,17,14,24,,14,,,53,,,,13,,,,,,,,,,45,,,15,20,,18,,,,25,,,,25,,,20,,,,,40,13,,,,,,,
2015-04-30,,,,36,18,20,24,,13,,,55,,,,12,,,,,,,,,,44,,,15,19,,16,,,,25,,,,23,,,20,,,,12,39,,,,,,,,
2015-05-01,,,,35,20,20,24,,13,,,50,,,,13,,,,,,,,,,43,,,15,21,,15,,,,28,,,,22,,,20,,,,15,39,,,,,,,,
2015-05-02,,,,34,20,20,25,,13,,,49,,,,13,,,,,,,,,,42,,,15,23,,15,,,,27,,,,22,,,20,,,,15,39,,,,,,,,
2015-05-03,,,,34,20,20,25,,13,,,49,,,,12,,,,,,,,,,42,,,15,23,,15,,,,27,,,,22,,,,,,,15,39,12,,,,,,,
2015-05-04,,,,33,20,20,25,,13,,,45,,,,13,,,,,,,,,,42,13,,15,23,,15,,,,27,,,,22,,,,,,,15,39,,,,,,,,
2015-05-05,,,,33,20,19,26,,13,,,41,,,,13,,,,,,,,,,42,13,,15,23,,15,,,,27,,,,20,,,,,,,15,39,,,,,,,,
2015-05-06,,,,33,19,18,26,,13,,,39,,,,12,,,,,,,,,,42,,,15,21,,15,,,,29,,,,20,,,,,,,15,39,12,,,,,,,
2015-05-07,,,,26,18,18,26,,13,,,41,,,,12,,,,,,,,,,40,,,15,21,,15,,,,27,,,,20,,,,,,,15,39,12,,,,,,,
2015-05-08,,,,26,16,18,26,,13,,,38,,,,13,,,,,,,,,,41,,,16,21,,16,,,,27,,,,20,,,,,,15,15,40,,,,,,,,
2015-05-09,,,,26,16,18,26,,13,,,38,,,,13,,,,,,,,,,43,,,16,21,,16,,,,27,,,,20,,,,,,13,15,38,,,,,,,,
2015-05-10,,,,26,16,18,25,,14,,,38,,,,12,,,,,,,,,,42,12,,16,21,,16,,,,27,,,,20,,,,,,,13,38,,,,,,,,
2015-05-11,,,,26,15,17,25,,14,,,38,,,,12,,,,,,,,,,42,12,,16,21,,16,,,,27,,,,23,,,,39,,,13,,,,,,,,,
2015-05-12,,,,22,15,17,29,,14,,,35,,,,12,,,,,,,,,,47,,,16,20,,18,,,,27,,,,23,,,,40,,19,12,,,,,,,,,
2015-05-13,,,,21,15,17,30,,14,,,32,,,,12,,,,,,,,,,49,12,,17,17,,18,,,,27,,,,23,,,,41,,21,,,,,,,,,,
2015-05-14,,,,21,15,16,29,,14,,,32,,,,12,,,,,,,,,,46,12,,17,17,,18,,,,27,,,,22,,,,41,,20,,,,,,,,,,
2015-05-15,,,,20,17,16,25,,14,,,30,,,,12,,,,,,,,,,46,12,,18,17,,18,,,,24,,,,23,,,,39,,17,,,,,,,,,,
