date,Essence,"Think Big, a Teradata Company","Havas Media",Xcede,"Berico Technologies","Big Data Partnership","Confidential Company - Undisclosed",YuMe,"See More","Financial Conduct Authority","Altius: Understand | Model | Predict","Cambridge Assessment","Edge Hill University","IC Resources","Aimia Inc",Teradata,"Experis IT",BIPB,NaturalMotion,"Xpat Jobs.com",CareerBuilder.com,Adzuna,"Pivotal Software, Inc.","Incite BI","CD IT Recruitment","Think Big, A Teradata Company"
2015-03-11,,,8,5,,,,9,,,,,,,,,,,,,,,,,5,6
2015-03-12,,,8,5,,,,9,,,,,,,,,,,,,,,,,5,7
2015-03-16,,,6,5,,,,,,,,,,,,,,,,,,,,,5,7
2015-03-18,,7,6,,,,,11,,,,,,,,,,,,,,,,,5,
2015-03-18,,7,6,,,,,11,,,,,,,,,,,,,,,,,,
2015-03-19,,7,6,,,,,11,,,,,,,,,,,,,,,,,,
2015-03-20,,7,,,,,,11,,,,,,,,,,,,,,,,,,
2015-03-21,,7,,,,,,11,,,,,,,,,,,,,,,,,,
2015-03-22,,7,,,,,,11,,,,,,,,,,,,,,,,,,
2015-03-23,,7,,,,,,11,,,,,,,,,,,5,,,,,,,
2015-03-24,,7,,,,,,12,,,,,,,,,,,5,,,,,,,
2015-03-25,,7,,,,,,12,,,,,,,,,,,5,,,,,,,
2015-03-26,,7,,,,,,12,,,,,,,,,,,5,,,,,5,,
2015-03-27,,7,,,,,,12,,,,,,,,,,,5,,,,,5,,
2015-03-28,,7,,,,,,12,,,,,,,,,,,5,,,,,8,,
2015-03-29,,7,,,,,,12,,,,,,,,,,,5,,,,,9,,
2015-03-30,,7,,,,,,12,,,,,,,,5,,,5,,,,,9,,
2015-03-31,,7,,,,,,11,,,,,,,,5,,,5,,,,,6,,
2015-04-01,,7,,,,,,11,,,,,,,,5,,,5,,,,,5,,
2015-04-02,,7,,,,,,11,,,,,,,,5,,,5,,,,,,,
2015-04-03,,7,,,,,,11,,,,,,,,5,,,5,,,,5,,,
2015-04-04,,7,,,,,,11,5,,,,,,,5,5,,7,,,,5,,,
2015-04-05,,7,,,,,,11,5,,,,,,,5,5,,7,,,,5,,,
2015-04-06,,7,,,,,,11,5,,,,,,,5,5,,7,,,,5,,,
2015-04-07,5,7,,,,,,11,5,,,,,,,5,5,,7,,,,5,,,
2015-04-08,6,7,,,,,,11,5,,,,,,,5,5,,7,,,,5,,,
2015-04-09,6,7,,,,,,11,5,,,,,,,5,5,,6,,,,5,5,,
2015-04-10,6,7,,,,,,11,5,,5,,,,,5,5,,6,,,,5,5,,
2015-04-11,6,7,,,,,,11,5,,5,,,,,5,5,,7,,,,5,,,
2015-04-12,6,7,,,,,,11,5,,5,,,,,5,5,,7,,,,5,,,
2015-04-13,6,7,,,,,,11,5,,5,,,,,5,5,,7,,,,5,,,
2015-04-14,6,7,,,,,,11,5,,5,,,,,6,,,7,,,,5,,,
2015-04-15,6,7,,,,,,10,5,,5,,,,,6,6,,7,,,,5,,,
2015-04-16,6,7,,,,,,9,5,,5,,,,,6,7,,6,,,,5,,,
2015-04-17,6,7,,,,,,10,5,,5,,,,,6,7,,6,,6,,5,,,
2015-04-18,6,7,,,,,,10,5,,5,,,,,6,7,,6,28,7,,5,,,
2015-04-19,6,7,,,,,,10,5,,5,,,,,6,7,,6,47,7,5,5,,,
2015-04-20,6,8,,,,,,10,5,,5,,,,,6,7,,5,43,7,5,,,,
2015-04-21,6,8,,,,,,11,5,,5,,,,,6,7,,5,,,,,,,
2015-04-22,9,8,,,,,,11,5,,5,,,,,6,7,,,,,,,,,
2015-04-23,8,8,,,,,,11,5,,5,,,,,6,7,5,,,,,,,,
2015-04-24,8,8,,,,,,11,5,,5,,,,,6,7,5,,,,,,,,
2015-04-25,8,8,,,,,,11,5,,5,,,,,6,7,5,,,,,,,,
2015-04-26,8,8,,,,,,11,5,,5,,,,,6,7,5,,,,,,,,
2015-04-27,9,8,,,,,,11,5,,5,,,,,6,7,,,,,,,,,
2015-04-28,9,8,,,,,,11,5,,5,,,,,6,7,,,,,,,,,
