date,London
2015-03-12,5
2015-03-16,6
2015-03-20,7
2015-03-21,7
2015-03-22,7
2015-03-23,7
2015-03-24,7
2015-03-25,8
2015-03-26,8
2015-03-27,9
2015-03-28,9
2015-03-29,9
2015-03-30,9
2015-03-31,9
2015-04-01,9
2015-04-02,9
2015-04-03,9
2015-04-04,12
2015-04-05,11
2015-04-06,11
2015-04-07,12
2015-04-08,12
2015-04-09,12
2015-04-10,12
2015-04-11,12
2015-04-12,12
2015-04-13,12
2015-04-14,12
2015-04-15,12
2015-04-16,12
2015-04-17,13
2015-04-18,15
2015-04-19,19
2015-04-20,19
2015-04-21,12
2015-04-22,12
2015-04-23,11
2015-04-24,10
2015-04-25,10
2015-04-26,9
2015-04-27,9
2015-04-28,9
2015-04-29,9
2015-04-30,9
2015-05-01,9
2015-05-02,9
2015-05-03,9
2015-05-04,9
2015-05-05,10
2015-05-06,10
2015-05-07,6
2015-05-08,6
2015-05-09,6
2015-05-10,6
2015-05-11,6
2015-05-12,7
2015-05-13,7
2015-05-14,7
2015-05-15,7
2015-05-16,6
2015-05-17,9
2015-05-18,10
2015-05-19,10
2015-05-20,11
2015-05-21,11
2015-05-22,11
2015-05-23,8
2015-05-24,8
2015-05-25,8
2015-05-26,8
2015-05-27,8
2015-05-27,8
2015-05-28,11
2015-05-29,11
2015-05-30,10
2015-05-31,10
2015-06-01,10
2015-06-02,9
2015-06-03,9
2015-06-04,8
2015-06-05,9
2015-06-06,9
2015-06-07,9
2015-06-08,9
2015-06-09,8
2015-06-10,8
2015-06-11,8
2015-06-13,7
2015-06-15,9
2015-06-16,10
2015-06-17,10
2015-06-18,11
2015-06-19,10
2015-06-20,10
2015-06-21,11
2015-06-22,10
2015-06-23,14
2015-06-24,14
2015-06-25,14
2015-06-26,14
2015-06-27,13
2015-06-28,13
2015-06-29,12
2015-06-30,12
2015-07-01,12
2015-07-02,12
2015-07-03,11
2015-07-04,11
2015-07-05,11
2015-07-07,11
2015-07-08,9
2015-07-09,9
2015-07-10,8
2015-07-11,8
2015-07-12,8
2015-07-13,8
2015-07-14,9
2015-07-15,8
2015-07-16,8
2015-07-17,6
2015-07-18,6
2015-07-21,5
