date,London
2015-03-11,8
2015-03-12,8
2015-03-16,8
2015-03-18,9
2015-03-18,9
2015-03-19,10
2015-03-20,8
2015-03-21,8
2015-03-22,8
2015-03-23,7
2015-03-24,7
2015-03-25,7
2015-03-26,8
2015-03-27,9
2015-03-28,7
2015-03-29,7
2015-03-30,7
2015-03-31,7
2015-04-01,8
2015-04-02,5
2015-04-03,5
2015-04-04,5
2015-04-05,7
2015-04-08,5
2015-04-10,5
2015-04-11,5
2015-04-12,5
2015-04-18,5
2015-04-19,8
2015-04-20,8
2015-04-23,5
2015-04-24,5
2015-05-02,5
2015-05-03,5
2015-05-04,5
2015-05-05,5
2015-05-06,7
2015-05-07,7
2015-05-08,7
2015-05-09,7
2015-05-10,7
2015-05-11,8
2015-05-12,8
2015-05-13,6
2015-05-14,7
2015-05-15,7
2015-05-16,7
2015-05-17,7
2015-05-18,8
2015-05-19,8
2015-05-20,7
2015-05-21,7
2015-05-22,7
2015-05-23,7
2015-05-24,7
2015-05-25,7
2015-05-26,7
2015-05-27,8
2015-05-27,8
2015-05-28,8
2015-05-29,9
2015-05-30,9
2015-05-31,9
2015-06-01,9
2015-06-02,10
2015-06-03,10
2015-06-04,11
2015-06-05,11
2015-06-06,11
2015-06-07,11
2015-06-08,10
2015-06-09,10
2015-06-10,11
2015-06-11,11
2015-06-12,11
2015-06-13,11
2015-06-14,13
2015-06-15,13
2015-06-16,13
2015-06-17,10
2015-06-18,10
2015-06-19,10
2015-06-20,10
2015-06-21,10
2015-06-22,12
