date,Lisbon,Porto
2015-05-28,9,
2015-05-29,9,
2015-05-30,9,
2015-05-31,9,
2015-06-01,9,
2015-06-02,25,5
2015-06-03,23,5
2015-06-04,29,5
2015-06-05,30,5
2015-06-06,30,5
2015-06-07,30,5
2015-06-08,32,5
2015-06-09,29,5
2015-06-10,24,5
2015-06-11,24,5
2015-06-12,29,5
2015-06-13,27,6
2015-06-14,28,6
2015-06-15,28,6
2015-06-16,27,6
2015-06-17,28,6
2015-06-18,28,6
2015-06-19,28,
2015-06-20,29,
2015-06-21,28,
2015-06-22,26,
2015-06-23,26,
2015-06-24,28,
2015-06-25,29,
2015-06-26,27,
2015-06-27,26,
2015-06-28,28,
2015-06-29,26,
2015-06-30,25,
2015-07-01,28,
2015-07-02,29,
2015-07-03,29,
2015-07-04,30,
2015-07-05,31,
2015-07-07,32,
2015-07-08,31,
2015-07-09,29,
2015-07-10,30,
2015-07-11,31,
2015-07-12,30,
2015-07-13,29,
2015-07-14,30,
2015-07-15,30,
2015-07-16,29,
