date,Google,Microsoft,"Credit Suisse","Arca24.com SA"
2015-05-28,11,,,
2015-05-28,11,,,
2015-05-29,10,,,
2015-05-30,10,,,
2015-05-31,10,,,
2015-06-01,11,,,
2015-06-02,11,,,
2015-06-03,12,,,
2015-06-04,12,,6,
2015-06-05,13,,6,
2015-06-06,13,,6,
2015-06-07,13,,6,
2015-06-08,13,,,
2015-06-09,13,,6,
2015-06-10,12,,5,6
2015-06-11,12,,,6
2015-06-12,12,,5,6
2015-06-13,12,,5,11
2015-06-14,12,,5,11
2015-06-15,12,,,11
2015-06-16,13,,,11
2015-06-17,13,,,11
2015-06-18,13,,,12
2015-06-19,13,,,12
2015-06-20,13,,,12
2015-06-21,13,,,12
2015-06-22,13,,,13
2015-06-23,13,,,14
2015-06-24,13,,,14
2015-06-25,13,,5,14
2015-06-26,13,,,14
2015-06-27,13,,,14
2015-06-28,13,,,14
2015-06-29,13,,,14
2015-06-30,13,,,14
2015-07-01,13,,,14
2015-07-02,13,,,
2015-07-03,13,,,
2015-07-04,13,,,
2015-07-05,13,,,
2015-07-07,16,,,
2015-07-08,16,,,
2015-07-09,16,5,,
2015-07-10,16,,,
2015-07-11,16,,5,
2015-07-12,16,,5,
2015-07-13,17,,,
2015-07-14,17,5,,
2015-07-15,17,,,
2015-07-16,17,,5,
2015-07-17,18,5,5,
2015-07-18,18,5,5,
2015-07-19,18,5,5,
2015-07-20,16,5,,
2015-07-21,16,,,
