Required skills,English,Dutch (Nederlands),French (France),Spanish,Italian (Italy),Portuguese (Portugal),Greek (Modern),Polish,Bulgarian,Romanian
Code,en,de,fr,es,it,pt,gr,pl,bg,ro
Title,Select your sector,,Choisissez votre secteur,,,,,,,
Question,Which sector do you work in? Please choose the one which best describes your main focus.,In welke sector bent u werkzaam? Kies wat het beste bij uw specialisatie past.,Dans quel secteur travaillez-vous ? Veuillez choisir ce qui décrit le mieux votre objectif principal.,"¿En qué sector trabaja usted? Por favor, seleccione la opción que mejor describa su objetivo principal.",In quale settore lavora? Le chiedo gentilmente di scegliere quello che meglio descrive il suo ambito principale.,"Em que setor trabalha? Por favor, escolha o que melhor descreve o seu foco principal.",Σε ποιο τομέα εργάζεστε; Παρακαλώ επιλέξετε αυτόν που περιγράφει καλύτερα την κύρια ιδιότητά σας.,"W jakim sektorze pracujesz? Proszę wybrać określenie, które najlepiej opisuje główny przedmiot działalności.","В кой отрасъл работите? Моля изберете този, който най-добре описва Вашата основна дейност.",În ce sector lucrați? Vă rugăm să îl alegeți pe cel care descrie cel mai bine activitatea dvs. principală.
Option_1,Agriculture,Landbouw,Agriculture,Agricultura,Agricoltura,Agricultura,Γεωργία,Rolnictwo,Селско стопанство,Agricultură
Option_2,Mining,Mijnbouw,Exploitation minière,Minería,Industria mineraria,Minas,Μεταλλευτική,Górnictwo,Минно дело,Minerit
Option_3,Manufacturing,Productie,Fabrication,Fabricación,Produzione,Produção,Βιομηχανία,Produkcja,Производство,Producție
Option_4,Energy,Energie,Énergie,Energía,Energia,Energia,Ενέργεια,Energia,Енергетика,Energie
Option_5,Water and waste management,Water- en afvalbeheer,Gestion des déchets et des eaux,Gestión del agua y de los residuos,Gestione delle risorse idriche e dei rifiuti,Água e gestão de resíduos,Διαχείρισης υδάτων και αποβλήτων,Gospodarka wodna i gospodarka odpadami,Вода и управление на отпадъците,Gospodărirea apelor și deșeurilor
Option_6,Construction,Bouwwerkzaamheden,Construction,Construcción,Edilizia,Construção,Κατασκευές,Budownictwo,Строителство,Construcţie
Option_7,Transport,Transport,Transport,Transporte,Trasporto,Transportes,Μεταφορές,Transport,Транспорт,Transport
Option_8,Accommodation and food services,Accommodatie en horeca,Hébergement et services de restauration,Alojamiento y servicios de restauración,Servizi di alloggio e di ristorazione,Hotelaria e restauração,Υπηρεσίες παροχής καταλύματος και εστίασης,Hotelarstwo i usługi gastronomiczne,"Услуги, свързани с настаняване и хранене",Cazare și servicii alimentare
Option_9,Media,Media,Médias,Medios de comunicación,Media,Média,Μέσα Μαζικής Ενημέρωσης,Media,Медия,Media
Option_10,Data and information systems,Data en informatie systemen,Les systèmes de données et d'information,Sistemas de datos y de información,Sistemi di dati e informativi,Sistemas de dados e informações,Πληροφοριακά συστήματα και συστήματα δεδομένων,Systemy baz danych i informacji,Данни и информационни системи,Sisteme de date și informații
Option_11,Finance and insurance services,Financiële en verzekeringsdiensten,Services financiers et des assurances,Servicios financieros y de seguros,Servizi di finanza e assicurazione,Serviços financeiros e seguros,Χρηματοοικονομικές και ασφαλιστικές υπηρεσίες,Usługi finansowe i ubezpieczeniowe,Финансови и застрахователни услуги,Servicii financiare și asigurări
Option_12,Real estate,Onroerend goed,Biens immobiliers,Bienes raíces,Beni immobili,Imobiliário,Κτηματομεσιτικά,Nieruchomości,недвижими имоти,Dezvoltare imobiliară
Option_13,Professional services,Professionele dienstverlening,Services professionnels,Servicios profesionales,Servizi professionali,Serviços profissionais,Επαγγελματικές υπηρεσίες,Usługi specjalistyczne,Професионални услуги,Servicii profesionale
Option_14,Scientific and market research,Wetenschappelijk en marktonderzoek,La recherche scientifique et de marché,Investigación científica y de mercado,Ricerca scientifica e di mercato,Investigação científica e de mercado,Έρευνα αγοράς και επιστημών,Badania naukowe i rynkowe,Научни и пазарни проучвания,Cercetare științifică și de piață
Option_15,Business administration services,Bedrijfskunde,Services d'administration des affaires,Servicios de administración de negocios,Servizi di amministrazione aziendale,Serviços de administração de empresas,Υπηρεσίες επιχειρηματικής διοίκησης,Usługi administracji biznesu,Бизнес администрация,Servicii de administrare a afacerilor
Option_16,Tourism,Toerisme,Tourisme,Turismo,Turismo,Turismo,Τουρισμός,Turystyka,Туризъм,Turism
