date,Milan,Rome,Treviso,Padova,Florence,Bologna,Turin,Bergamo,"Reggio Emilia",Modena,Bari,Brescia,Genoa,Pordenone,"See More",Vicenza,"Monza and Brianza",Cremona,Varese,Verona,Naples,Udine,"Pesaro Urbino",Ravenna,Como,Potenza,Perugia,Pisa,Arezzo,Trento,Teramo,Lecco,Ancona,Cuneo,Rimini,Gorizia
2015-05-28,132,91,30,65,42,41,34,,,,,,,,17,18,,,21,37,,,,,,65,27,26,,,17,,,,,
2015-05-29,128,91,30,62,42,40,33,,,,,,,,17,19,,,21,37,,,,,,65,27,26,,,17,,,,,
2015-05-30,124,87,29,,42,39,35,13,,11,,14,,,5,19,,,23,,,,,,,,,,,,,,,10,6,5
2015-05-31,124,89,31,63,43,40,35,,,,,,,,18,19,,,22,39,,,,,,64,28,25,,,18,,,,,
2015-06-01,120,89,,,43,38,32,12,,11,,11,,,7,18,,,23,,,,,,,,,,,,,,,10,7,
2015-06-02,122,89,30,64,43,38,32,,,,,,,,18,18,,,23,38,,,,,,63,28,25,,,18,,,,,
2015-06-03,122,87,31,61,42,35,31,,,,,,,,16,,,,21,40,,,,,,65,29,25,16,,18,,,,,
2015-06-04,122,85,29,,44,36,29,12,,12,8,9,,,8,16,,,22,40,,,,,,,,,,,,,,,,
2015-06-05,123,87,30,57,43,36,30,,,,,,,,16,,,,21,39,,,,,,64,25,25,16,,18,,,,,
2015-06-06,119,84,29,58,42,37,30,13,,11,,10,10,,10,16,,,,40,,,,,,,,,,16,,,,,,
2015-06-07,111,86,29,59,41,38,30,13,,11,8,10,,,8,16,,,,40,,,,,,,,,,16,,,,,,
2015-06-08,118,88,25,59,41,35,31,11,,10,,11,,,10,,13,,,39,,,,,,,,,,16,,,,,,
2015-06-09,128,87,26,58,39,38,34,,,,,,,,16,16,,,21,40,,,,,,64,27,24,,16,,,,,,
2015-06-10,132,85,24,61,39,38,33,,,,,,,,15,,,,21,36,,,,,,62,25,24,15,16,,,,,,
2015-06-11,134,88,24,61,40,39,28,,,,,,,,16,,,,21,37,,,,,,61,24,26,16,16,,,,,,
2015-06-12,134,84,25,61,41,41,28,,,,,,,,16,,,,21,39,,,,,,66,26,25,17,16,,,,,,
2015-06-13,133,85,25,61,41,41,28,,,,,,,,16,,,,20,40,,,,,,66,26,25,17,16,,,,,,
2015-06-14,128,86,26,58,40,38,29,,,12,8,10,,,5,13,,,,,,,6,,,,,,,16,,,5,,,
2015-06-15,129,83,23,58,40,40,30,,,12,8,8,,,6,13,,,,,,,6,,,,,,,,,9,,,,
2015-06-16,131,89,23,59,40,41,31,,,13,10,,,,7,13,,,,,11,,7,,,,,,,,,9,,,,
2015-06-17,130,89,22,,40,43,33,11,,13,11,,,,5,,,,,37,11,,,,,,,,,,,8,5,,,
2015-06-18,132,90,25,,,40,30,12,,13,10,,,,5,,,,,37,12,,,,,,,,,14,,7,5,,,
2015-06-19,125,86,24,55,37,36,22,,,,,,,,15,,,,20,37,,,,,,67,23,21,15,,15,,,,,
2015-06-20,121,88,23,,,34,21,11,,11,10,9,,,9,,,,,35,13,,,,,,,,,14,,,,,,
2015-06-21,118,88,22,,,35,19,,,11,10,9,,,9,,,,17,35,12,,,,,,,,,14,,,,,,
2015-06-22,118,85,22,52,39,34,18,,,,,,,,14,,,,17,35,14,,,,,64,22,22,14,,,,,,,
2015-06-23,123,85,22,52,38,34,19,,,,,,,,14,,,,17,35,14,,,,,64,22,22,14,,,,,,,
2015-06-24,124,92,24,55,,35,19,,,11,10,,,,7,,,,,35,14,,7,,,,,,,13,,,,,,
2015-06-25,126,85,24,53,37,34,20,9,,10,10,8,,,7,,,,,32,,,7,,,,,,,,,,,,,
2015-06-26,125,85,24,53,37,34,18,,,,,,,,14,,,,16,33,16,,,,,61,22,19,14,,,,,,,
2015-06-27,120,81,24,50,37,34,18,,,,,,,,14,,,,16,31,15,,,,,67,22,18,14,,,,,,,
2015-06-28,122,82,24,51,36,32,19,10,,9,10,6,,,6,,,,,,,,7,,,,,,,,,,,,,
2015-06-29,128,82,26,,35,32,20,10,,9,10,6,,,6,,,,,31,,,7,,,,,,,,,,,,,
2015-06-30,127,83,26,52,37,32,20,,,,,,,,14,,,,16,33,15,,,,,65,22,18,14,,,,,,,
2015-07-01,127,85,25,54,37,35,20,,,,,,,,15,,,,16,33,15,,,,,67,23,18,15,,,,,,,
2015-07-02,132,87,26,57,,37,20,11,,9,11,7,12,,7,,,,,34,,,,9,7,,,,,,,,,,,
2015-07-03,128,88,27,55,39,35,19,11,,9,10,7,11,,7,,,,,32,,,,9,,,,,,,,,,,,
2015-07-04,127,88,27,55,37,35,20,11,,9,10,10,11,,9,,,,,32,,,,9,,,,,,,,,,,,
2015-07-05,126,85,27,55,37,35,18,,,9,10,9,10,,7,,,,,31,,,7,8,,,,,,,,,,,,
2015-07-08,128,86,24,59,,38,19,11,,10,10,10,12,,7,11,12,,,,,,7,,,,,,,,,,,,,
2015-07-09,128,87,28,54,40,35,25,11,,10,10,10,12,,10,13,,,,33,,,,,,,,,,,,,,,,
2015-07-10,124,89,27,52,40,34,25,11,,10,10,10,12,,10,13,,,,33,,,,,,,,,,,,,,,,
2015-07-11,116,89,24,54,39,34,25,11,,9,10,10,,,8,13,,,,,,8,,,,,,,,,,,,,,
2015-07-12,114,89,24,55,38,34,25,13,,10,11,11,,,8,11,,,,,,8,,,,,,,,,,,,,,
2015-07-13,116,89,24,58,38,36,25,14,,10,11,11,,,8,11,,,,,,8,,,,,,,,,,,,,,
2015-07-14,117,88,24,59,,36,22,14,11,10,11,,,,8,13,,8,,35,,8,,,,,,,,,,,,,,
2015-07-15,111,85,29,52,,36,21,15,13,13,,,,,9,13,,9,,33,14,,,,,,,,,,,,,,,
