date,London,Cambridge,Edinburgh,Reading,Bristol,Twickenham,Gloucester,Southall,Guildford,Southampton,Leeds,Nottingham,Cardiff,Sheffield,"See More",Belfast,Oxford,"San Francisco Bay",Manchester,Swindon,Coventry,Slough,Redhill,Glasgow,"Kingston upon Thames",Portsmouth,"Milton Keynes","Newcastle upon Tyne",Stevenage,"Hemel Hempstead",Leicester,Birmingham,Watford,Exeter,Brighton
2015-03-11,510,97,21,42,26,10,,11,18,,11,,,10,10,20,17,,14,,,,,19,,,,,,,,,,,
2015-03-12,538,91,22,40,27,,,,18,,11,,,10,9,19,25,,14,,10,9,,21,,,,,,,,,,,
2015-03-16,565,121,21,39,31,11,,,20,,,,,11,10,15,22,,15,,10,10,,22,,,,,,,,,,,
2015-03-18,588,129,21,39,31,,,12,16,11,,,,12,10,17,23,,13,,10,,,22,,,,,,,,,,,
2015-03-18,589,126,21,39,31,,,12,16,11,11,,,12,11,17,23,,13,,,,,23,,,,,,,,,,,
2015-03-19,592,130,21,43,29,12,,13,16,,12,,,11,11,16,26,,13,,,,,24,,,,,,,,,,,
2015-03-20,593,130,23,45,30,13,,13,17,,14,,,11,11,14,28,,13,,,,,24,,,,,,,,,,,
2015-03-21,590,129,23,48,30,12,,13,17,12,14,,,,12,14,27,,13,,,,,24,,,,,,,,,,,
2015-03-22,587,130,23,47,30,12,,13,17,12,14,,,,12,13,27,,13,,,,,24,,,,,,,,,,,
2015-03-23,590,121,23,49,28,,,16,17,12,13,,,11,11,13,27,,13,,,,,24,,,,,,,,,,,
2015-03-24,609,121,22,46,24,,,15,18,11,12,,,11,10,,26,,13,,,,,25,,,,,,,,,,,10
2015-03-25,608,121,22,44,20,,,13,20,12,12,,,11,11,11,27,,13,,,,,24,,,,,,,,,,,
2015-03-26,580,126,22,44,22,,,16,19,13,,,,11,10,11,30,,13,,,,,28,,,,,,,,,,,10
2015-03-27,589,117,21,46,22,,10,13,19,12,,,5,,5,11,30,,,,,,,28,,,,,,,,,,,
2015-03-28,575,126,21,45,22,,,15,19,14,,,,11,9,11,29,,11,,,,,28,,,,,,,,,,,9
2015-03-29,578,127,21,44,23,,,15,20,13,,,,11,9,11,29,,11,,,,,28,,,,,,,,,,,9
2015-03-30,577,124,22,47,21,,,14,19,13,,,,11,9,11,29,,11,,,,,27,,,,,,,,,,,9
2015-03-31,575,124,23,47,22,,,14,18,11,,,,12,9,13,28,,11,,,,,28,,,,,,,,,,,9
2015-04-01,546,120,25,45,22,,,14,18,,,,,12,9,12,28,,14,,,,,9,,,,,,,,,,9,9
