date,Warsaw,Cracow,Wroclaw,Poznan,"Poland District",Lodz,Rzeszow,"Silesian District","Pomeranian District",Myslowice,Wloclawek,"Lodz District",Lublin,Sosnowiec,"See More",Katowice,Bydgoszcz,Gdynia,Olsztyn,Gliwice
2015-06-26,30,,9,,10,8,,,5,,,,,,,,,,,
2015-06-27,238,85,66,90,58,39,26,14,17,,23,,,,9,19,,10,10,9
2015-06-28,290,104,83,91,68,66,34,32,28,13,23,17,,,13,20,14,,,
2015-06-29,325,92,73,96,77,65,35,35,30,18,24,18,,14,14,19,,,,
2015-06-30,348,102,76,100,100,70,35,35,29,26,23,19,,16,16,20,,,,
2015-07-01,334,100,81,71,106,69,34,33,29,24,24,19,17,16,16,,,,,
2015-07-02,317,,70,70,,,,,,,,,,,,,,,,
2015-07-03,322,,75,70,,,,,,,,,,,,,,,,
2015-07-04,361,,96,93,,,,,,,,,,,,,,,,
2015-07-05,317,,91,69,,,,,,,,,,,,,,,,
2015-07-07,350,129,100,103,,,,,,,,,,,,,,,,
2015-07-08,372,132,107,103,,,,,,,,,,,,,,,,
2015-07-09,360,127,99,103,,,,,,,,,,,,,,,,
2015-07-10,369,127,100,103,,,,,,,,,,,,,,,,
2015-07-11,348,129,101,75,,,,,,,,,,,,,,,,
2015-07-12,343,127,96,75,,,,,,,,,,,,,,,,
2015-07-13,349,127,95,98,,,,,,,,,,,,,,,,
2015-07-14,352,129,95,98,,,,,,,,,,,,,,,,
2015-07-15,352,134,94,96,,,,,,,,,,,,,,,,
2015-07-16,358,133,98,96,,,,,,,,,,,,,,,,
2015-07-17,367,134,97,102,,,,,,,,,,,,,,,,
2015-07-18,366,135,100,102,,,,,,,,,,,,,,,,
2015-07-19,365,136,99,97,,,,,,,,,,,,,,,,
