date,Zürich,Geneva
2015-05-28,6,
2015-05-28,5,
2015-05-29,5,
2015-05-30,5,
2015-05-31,5,
2015-06-01,5,5
2015-06-02,5,5
2015-06-03,7,5
2015-06-04,11,5
2015-06-05,10,
2015-06-06,10,
2015-06-07,10,
2015-06-08,10,
2015-06-09,10,
2015-06-10,10,5
2015-06-11,12,5
2015-06-12,12,5
2015-06-13,12,5
2015-06-14,12,5
2015-06-15,11,5
2015-06-16,10,
2015-06-17,11,5
2015-06-18,12,
2015-06-19,11,5
2015-06-20,11,5
2015-06-21,11,5
2015-06-22,11,6
2015-06-23,12,5
2015-06-24,13,
2015-06-25,14,
2015-06-26,14,
2015-06-27,15,
2015-06-28,16,
2015-06-29,16,
2015-06-30,16,
2015-07-01,17,
2015-07-02,10,
2015-07-03,9,
2015-07-04,9,
2015-07-05,9,
2015-07-07,10,
2015-07-08,10,
2015-07-09,9,
2015-07-10,8,
2015-07-11,7,
2015-07-12,8,
2015-07-13,7,
2015-07-14,7,
2015-07-15,8,
2015-07-16,8,
2015-07-17,8,
2015-07-18,6,
2015-07-19,6,
2015-07-20,6,
2015-07-21,6,
