date,Zürich,Basel
2015-06-04,,5
2015-06-05,,5
2015-06-07,,6
2015-06-08,5,6
2015-06-09,5,6
2015-06-10,6,6
2015-06-11,8,6
2015-06-12,7,6
2015-06-13,7,5
2015-06-14,7,5
2015-06-15,8,5
2015-06-16,8,5
2015-06-17,8,5
2015-06-18,6,
2015-06-19,7,
2015-06-20,7,5
2015-06-21,7,6
2015-06-22,7,6
2015-06-23,7,6
2015-06-24,8,6
2015-06-25,8,
2015-06-26,10,
2015-06-27,10,
2015-06-28,10,
2015-06-29,10,
2015-06-30,8,
2015-07-01,8,
2015-07-02,9,
2015-07-03,9,
2015-07-04,10,
2015-07-05,10,
2015-07-07,10,
2015-07-08,10,
2015-07-09,11,
2015-07-10,11,
2015-07-11,11,
2015-07-12,12,
2015-07-13,12,
2015-07-14,12,
2015-07-15,11,
2015-07-16,12,
2015-07-17,13,
2015-07-18,10,
