date,Zürich,Geneva,Basel,Bern,Ticino
2015-05-28,30,25,,,
2015-05-28,31,26,,,
2015-05-29,30,27,,,
2015-05-30,30,27,,,
2015-05-31,30,28,,,
2015-06-01,30,27,,,
2015-06-02,30,28,,,
2015-06-03,28,28,,,
2015-06-04,32,32,6,5,6
2015-06-05,33,32,6,5,7
2015-06-06,33,30,6,5,6
2015-06-07,36,29,8,5,5
2015-06-08,35,29,8,5,6
2015-06-09,36,31,8,5,6
2015-06-10,35,32,9,5,6
2015-06-11,35,32,10,5,5
2015-06-12,35,33,10,6,5
2015-06-13,35,33,9,7,5
2015-06-14,34,32,9,7,5
2015-06-15,35,33,9,7,
2015-06-16,37,32,10,7,
2015-06-17,36,31,10,7,
2015-06-18,34,29,8,8,6
2015-06-19,34,29,8,8,7
2015-06-20,33,28,9,8,7
2015-06-21,32,28,10,8,7
2015-06-22,35,28,11,8,7
2015-06-23,36,27,11,7,7
2015-06-24,36,27,11,7,7
2015-06-25,35,24,10,6,6
2015-06-26,33,24,11,7,5
2015-06-27,32,21,11,7,5
2015-06-28,31,20,10,6,5
2015-06-29,32,20,9,6,5
2015-06-30,28,17,9,6,5
2015-07-01,28,18,9,6,5
