date,Lisbon,Porto
2015-05-28,8,
2015-05-29,10,
2015-05-30,9,
2015-05-31,8,
2015-06-01,9,
2015-06-02,42,
2015-06-03,43,5
2015-06-04,46,5
2015-06-05,72,8
2015-06-06,72,9
2015-06-07,73,9
2015-06-08,73,9
2015-06-09,64,8
2015-06-10,55,8
2015-06-11,51,8
2015-06-12,64,12
2015-06-13,67,15
2015-06-14,65,15
2015-06-15,63,15
2015-06-16,59,16
2015-06-17,69,17
2015-06-18,73,17
2015-06-19,72,17
2015-06-20,68,11
2015-06-21,67,12
2015-06-22,66,10
2015-06-23,67,10
2015-06-24,70,12
2015-06-25,69,12
2015-06-26,68,12
2015-06-27,79,13
2015-06-28,79,15
2015-06-29,78,15
2015-06-30,73,15
2015-07-01,71,15
2015-07-02,61,
2015-07-03,63,
2015-07-04,64,
