date,Lisbon,Porto
2015-05-28,6,
2015-05-29,7,
2015-05-30,6,
2015-05-31,6,
2015-06-01,6,
2015-06-02,89,13
2015-06-03,91,13
2015-06-04,97,14
2015-06-05,158,17
2015-06-06,154,17
2015-06-07,155,16
2015-06-08,156,16
2015-06-09,127,12
2015-06-10,95,9
2015-06-11,91,9
2015-06-12,159,17
2015-06-13,158,17
2015-06-14,163,17
2015-06-15,158,18
2015-06-16,159,18
2015-06-17,175,18
2015-06-18,170,18
2015-06-19,165,18
2015-06-20,162,18
2015-06-21,162,18
2015-06-22,156,9
2015-06-23,157,9
2015-06-24,164,16
2015-06-25,162,16
2015-06-26,158,15
2015-06-27,177,14
2015-06-28,176,15
2015-06-29,177,15
2015-06-30,178,15
2015-07-01,183,16
2015-07-02,189,16
2015-07-03,182,13
2015-07-04,189,12
2015-07-05,192,14
2015-07-07,203,17
2015-07-08,206,18
2015-07-09,201,19
2015-07-10,213,19
2015-07-11,209,19
2015-07-12,209,19
2015-07-13,208,
2015-07-14,208,
2015-07-15,210,
