date,Oslo
2015-05-28,21
2015-05-29,20
2015-05-30,20
2015-05-31,20
2015-06-01,19
2015-06-02,18
2015-06-03,19
2015-06-04,19
2015-06-05,20
2015-06-06,20
2015-06-07,17
2015-06-08,16
2015-06-09,17
2015-06-10,16
2015-06-11,14
2015-06-12,14
2015-06-13,14
2015-06-14,14
2015-06-15,14
2015-06-16,13
2015-06-17,13
2015-06-18,11
2015-06-19,11
2015-06-20,11
2015-06-21,11
2015-06-22,9
2015-06-23,10
2015-06-24,10
2015-06-25,9
2015-06-26,14
2015-06-27,14
2015-06-28,15
2015-06-29,16
2015-06-30,16
2015-07-01,17
2015-07-02,17
2015-07-03,15
2015-07-04,12
2015-07-05,12
2015-07-07,13
2015-07-08,15
2015-07-09,13
2015-07-10,13
2015-07-11,16
2015-07-12,16
2015-07-13,16
2015-07-14,16
2015-07-15,16
2015-07-16,15
2015-07-17,15
2015-07-18,14
2015-07-19,14
