be,bg,ca,cs,da,de,el,es,et,fi,fr,gb,hr,hu,is,it,la,lt,lv,mk,mt,no,pl,pt,ro,sk,sl,sq,sr,sv,uk
"базы дадзеных","бази данни","bases de dades",databází,databaser,Datenbanken,"βάσεις δεδομένων","bases de datos",andmebaasid,tietokannat,"bases de données",databases,"baze podataka",adatbázisok,gagnagrunna,"banche dati",databases,"duomenų bazės","datu bāzes","бази на податоци",databases,databaser,"Bazy danych","bases de dados","baze de date",databáz,"baze podatkov","Bazat e të dhënave","базе података",databaser,"бази даних"
"кіраванне дадзенымі","управление на данни","gestió de dades","správa dat",datastyring,Datenmanagement,"διαχείριση δεδομένων","gestión de datos",andmehaldus,tiedonhallinta,"gestion des données","data management","upravljanje podacima",adatkezelés,"gögn stjórnun","gestione dei dati","data management","duomenų valdymas","datu pārvaldība","управување со податоци","ġestjoni tad-data","data management","zarządzanie danymi","gestão de dados","de gestionare a datelor","správa dát","Upravljanje podatkov","menaxhimin e të dhënave","управљање подацима",datahantering,"управління даними"
"Дадзеныя інжынерна","данни инженеринг","enginyeria de dades","Údaje engineering","data engineering",Datentechnik,"μηχανικής δεδομένων","ingeniería de datos","andmed engineering","data engineering","ingénierie de données","data engineering","Podaci inženjering","adatok mérnöki","gögn verkfræði","ingegneria dati","data engineering","duomenys inžinerija","Datu inženierija","податоци инженеринг","inġinerija data",datateknologi,"Technika danych","engenharia de dados","Tehnica de date","Údaje engineering","Podatki inženiring","inxhinieri dhënave","Подаци инжењеринг",datakonstruktion,"Дані інженерно"
"здабыча дадзеных","извличане на данни","mineria de dades","získávání dat","data mining",Data-Mining,"εξόρυξη δεδομένων","minería de datos",andmekaeve,"data mining","exploration de données","data mining","rudarenje podataka",adatbányászat,"gögn námuvinnslu","data mining","data mining","duomenų gavybos","datu ieguves","податоци за рударство","data mining","data mining","data mining","mineração de dados","data mining","získavanie dát","rudarjenje podatkov","të dhënat e minierave","дата мининг","data mining","видобуток даних"
"фарматы дадзеных","формати за данни","formats de dades","datové formáty",dataformater,Datenformate,"μορφές δεδομένων","formatos de datos",andmevormingutest,dataformaatit,"formats de données","data formats","formata podataka",adatformátumokról,"gögn snið","formati di dati","data formats","duomenų formatai","datu formāti","формати на податоци","format tad-data",dataformater,"Formaty danych","formatos de dados","formate de date","dátové formáty","podatkovni formati","Formatet e të dhënave","формати података",dataformat,"формати даних"
"звязаныя дадзеныя","свързани данни","dades vinculades","spojený údaje","koblet data","Linked Data","που συνδέονται με τα δεδομένα","datos vinculados","seotud andmed","liittyvät tiedot","données lié","linked data","povezane podatke","kapcsolódó adatok","tengd gögn","dati collegati","data coniunctum","susiję duomenys","saistīts dati","поврзани податоци","data marbuta","koblet data","powiązane dane","dados ligados","Date legate de","spojený údaje","povezana podatki","të dhënat e lidhura","повезани подаци","länkade uppgifter","пов&#39;язані дані"
"здабывання інфармацыі","извличане на информация","extracció d&#39;informació","Extrakce informace","udtrækning af oplysninger",Informationsextraktion,"εξαγωγή πληροφοριών","extracción de información","informatsiooni kaevandamine","tiedon kokoamisen","l&#39;extraction de l&#39;information","information extraction","ekstrakcija informacija",információkinyerési,"upplýsingar útdráttur","estrazione di informazioni","information extraction","informacija gavyba","informācijas ieguves","информации екстракција","estrazzjoni informazzjoni","informasjon utvinning","Wydobywanie informacji","extracção de informação","extragerea de informații","Extrakcie informácie","Pridobivanje informacij","nxjerrjes informacion","Информације екстракција",informationsutvinning,"добування інформації"
"апрацоўка патоку","обработка на потока","processament de flux","Zpracování proud","stream processing",Stromverarbeitung,"επεξεργασία ρεύμα","procesamiento de flujo","Stream töötlemine","stream processing","traitement de flux","stream processing","Obrada potok","stream feldolgozó","straum vinnslu","stream processing","stream processing","srautas apdorojimas","straume apstrāde","обработка на струја","ipproċessar stream","stream prosessering","Przetwarzanie strumienia","processamento de fluxo","prelucrare flux","Spracovanie prúd","Obdelava tok","përpunimit lumë","стреам процесора",stream-processing,"обробка потоку"
be,bg,ca,cs,da,de,el,es,et,fi,fr,gb,hr,hu,is,it,la,lt,lv,mk,mt,no,pl,pt,ro,sk,sl,sq,sr,sv,uk
"рэляцыйныя базы дадзеных","релационни бази данни","bases de dades relacionals","relační databáze","relationelle databaser","relationalen Datenbanken","σχεσιακές βάσεις δεδομένων","bases de datos relacionales",relatsioonandmebaasides,relaatiotietokantojen,"bases de données relationnelles","relational databases","relacijske baze podataka","relációs adatbázisok","Vensla gagnagrunna","database relazionali","respectiva Databases","reliacinių duomenų bazių","relāciju datu bāzes","релациони бази на податоци","databases relazzjonali",relasjonsdatabaser,"relacyjnych baz danych","bancos de dados relacionais","baze de date relaționale","relačnej databázy","relacijske baze podatkov","databaza relacionale","релационе базе података",relationsdatabaser,"реляційних баз даних"
NoSQL,NoSQL,NoSQL,NoSQL,NoSQL,nosql,NoSQL,nosql,NoSQL,NoSQL,nosql,nosql,NoSQL,nosql,nosql,NoSQL,NoSQL,NoSQL,NoSQL,NoSQL,nosql,NoSQL,NoSQL,nosql,NoSQL,NoSQL,NoSQL,NoSQL,носкл,NoSQL,NoSQL
MongoDB,MongoDB,MongoDB,MongoDB,MongoDB,mongodb,MongoDB,mongodb,MongoDB,MongoDB,mongodb,mongodb,mongodb,MongoDB,mongodb,MongoDB,mongodb,mongodb,mongodb,MongoDB,mongodb,mongodb,MongoDB,mongodb,MongoDB,MongoDB,mongodb,MongoDB,МонгоДБ,mongodb,MongoDB
ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ETL,ЕТЛ,ETL,ETL
