date,databases,"data management","data engineering","data mining","data formats","linked data","information extraction","stream processing"
2015-05-28,292,147,6,76,0,0,5,0
2015-05-29,306,153,7,75,0,0,5,2
2015-05-30,304,150,7,74,0,0,5,2
2015-05-31,296,148,7,74,0,0,5,2
2015-06-01,304,149,6,74,0,0,5,2
2015-06-02,312,158,7,78,0,0,5,2
2015-06-03,305,155,7,79,0,0,4,2
2015-06-04,312,147,9,83,2,0,6,2
2015-06-05,319,142,11,81,0,0,6,2
2015-06-06,319,136,11,82,0,0,6,2
2015-06-07,302,134,11,81,0,0,6,2
2015-06-08,321,135,11,81,0,0,6,2
2015-06-09,315,137,12,82,0,0,6,2
2015-06-10,303,139,12,79,0,0,6,2
2015-06-11,306,136,12,78,0,0,6,2
2015-06-12,307,135,12,82,0,0,6,2
2015-06-13,304,136,12,79,0,0,6,2
2015-06-14,306,135,12,78,0,0,6,2
2015-06-15,305,137,9,81,0,0,6,2
2015-06-16,295,146,9,83,0,0,6,2
2015-06-17,297,150,9,80,0,0,6,2
2015-06-18,296,139,9,79,0,0,6,2
2015-06-19,303,148,9,82,0,0,6,2
2015-06-20,299,146,8,81,0,0,6,2
2015-06-21,298,144,8,80,0,0,6,2
2015-06-22,289,147,8,80,0,0,6,2
2015-06-23,287,146,9,78,0,0,6,2
2015-06-24,277,140,9,78,0,0,6,3
2015-06-25,268,141,10,72,0,0,6,3
2015-06-26,273,136,9,71,0,0,6,3
2015-06-27,269,137,9,71,0,0,6,3
2015-06-28,273,137,12,74,0,0,6,3
2015-06-29,272,136,12,75,0,0,6,3
2015-06-30,276,125,13,75,0,0,6,3
2015-07-01,278,129,11,70,0,0,6,3
2015-07-02,284,130,12,72,0,0,6,3
2015-07-03,277,126,12,67,0,0,6,3
2015-07-04,264,124,12,67,0,0,6,3
2015-07-05,263,128,12,67,0,0,6,3
2015-07-07,282,139,14,75,0,0,6,3
2015-07-08,280,141,14,78,0,0,6,3
2015-07-09,270,141,12,77,0,0,6,3
2015-07-10,280,141,11,77,0,0,7,3
2015-07-11,283,135,11,74,0,0,8,3
2015-07-12,277,136,11,73,0,0,8,3
2015-07-13,274,138,11,75,0,0,8,3
2015-07-14,275,147,12,76,0,0,8,3
2015-07-15,290,150,11,72,0,0,8,3
2015-07-16,302,146,11,69,0,0,8,3
2015-07-17,320,155,13,73,0,0,8,3
2015-07-18,316,153,13,73,0,0,8,3
