date,Datenbanken,Datenmanagement,Datentechnik,Data-Mining,Datenformate,"Linked Data",Informationsextraktion,Stromverarbeitung
2015-05-27,1602,144,17,944,5,8,2,0
2015-05-27,1568,137,17,926,5,8,2,0
2015-05-28,1553,135,16,920,5,8,2,0
2015-05-28,1552,136,16,931,5,8,2,0
2015-05-29,1635,145,15,946,6,8,2,0
2015-05-30,1611,142,15,929,6,7,2,0
2015-05-31,1654,139,15,923,6,8,2,0
2015-06-01,1670,136,16,937,5,8,2,0
2015-06-02,1623,130,16,219,4,8,2,0
2015-06-03,1745,141,20,980,4,9,2,0
2015-06-04,1840,142,17,1053,5,9,2,0
2015-06-05,1656,128,16,1118,5,6,0,0
2015-06-06,1827,129,14,1119,5,7,0,0
2015-06-07,1804,139,14,1096,4,7,2,0
2015-06-08,1779,129,14,1098,0,8,2,0
