date,"banche dati","gestione dei dati","ingegneria dati","data mining","formati di dati","dati collegati","estrazione di informazioni","stream processing"
2015-05-28,66,17,0,26,0,0,0,0
2015-05-29,67,15,0,26,0,0,0,0
2015-05-30,65,16,0,26,0,0,0,0
2015-05-31,65,16,0,25,0,0,0,0
2015-06-01,65,16,0,23,0,0,0,0
2015-06-02,65,16,0,25,0,0,0,0
2015-06-03,65,16,0,25,0,0,0,0
2015-06-04,66,17,0,26,0,0,0,0
2015-06-05,64,15,0,25,0,0,0,0
2015-06-06,65,13,0,24,0,0,0,0
2015-06-07,65,13,0,24,0,0,0,0
2015-06-08,57,13,0,25,0,0,0,0
2015-06-09,57,13,0,23,0,0,0,0
2015-06-10,58,13,0,23,0,0,0,0
2015-06-11,56,13,0,29,0,0,0,0
2015-06-12,56,13,0,32,0,0,0,0
2015-06-13,56,13,0,31,0,0,0,0
2015-06-14,57,13,0,33,0,0,0,0
2015-06-15,55,14,0,33,0,0,0,0
2015-06-16,56,14,0,34,0,0,0,0
2015-06-17,55,14,0,36,0,0,0,0
2015-06-18,51,15,0,37,0,0,0,0
2015-06-19,50,15,0,36,0,0,0,0
2015-06-20,50,15,0,34,0,0,0,0
2015-06-21,49,15,0,33,0,0,0,0
2015-06-22,50,14,0,34,0,0,0,0
2015-06-23,50,14,0,34,0,0,0,0
2015-06-24,51,15,0,30,0,0,0,0
2015-06-25,48,17,0,30,0,0,0,0
2015-06-26,49,16,0,32,0,0,0,0
2015-06-27,53,16,0,32,0,0,0,0
2015-06-28,53,16,0,32,0,0,0,0
2015-06-29,53,16,0,32,0,0,0,0
2015-06-30,53,17,0,36,0,0,0,0
2015-07-01,55,19,0,36,0,0,0,0
2015-07-02,56,19,0,33,0,0,0,0
2015-07-03,53,18,0,32,0,0,0,0
2015-07-04,53,17,0,32,0,0,0,0
2015-07-05,56,17,0,32,0,0,0,0
2015-07-07,57,16,0,38,0,0,0,0
2015-07-08,53,17,0,36,0,0,0,0
2015-07-09,57,17,0,36,0,0,0,0
2015-07-10,57,16,0,39,0,0,0,0
2015-07-11,57,15,0,35,0,0,0,0
2015-07-12,57,15,0,36,0,0,0,0
2015-07-13,53,16,0,38,0,0,0,0
2015-07-14,53,17,0,38,0,0,0,0
2015-07-15,56,16,0,38,0,0,0,0
2015-07-16,56,16,0,42,0,0,0,0
2015-07-17,55,18,0,43,0,0,0,0
2015-07-18,55,17,0,43,0,0,0,0
2015-07-19,55,16,0,43,0,0,0,0
2015-07-20,56,17,0,42,0,0,0,0
2015-07-21,57,18,0,41,0,0,0,0
2015-07-22,55,18,0,36,0,0,0,0
2015-07-23,55,17,0,35,0,0,0,0
