date,"Bazy danych","zarządzanie danymi","Technika danych","data mining","Formaty danych","powiązane dane","Wydobywanie informacji","Przetwarzanie strumienia"
2015-05-28,10,3,0,23,0,0,0,0
2015-05-29,9,3,0,22,0,0,0,0
2015-05-30,9,3,0,22,0,0,0,0
2015-05-31,9,3,0,22,0,0,0,0
2015-06-01,10,3,0,22,0,0,0,0
2015-06-02,8,3,0,22,0,0,0,0
2015-06-03,10,3,0,20,0,0,0,0
2015-06-04,7,3,0,16,0,0,0,0
2015-06-05,7,3,0,17,0,0,0,0
2015-06-06,7,3,0,17,0,0,0,0
2015-06-07,7,3,0,17,0,0,0,0
2015-06-08,7,3,0,19,0,0,0,0
2015-06-09,7,3,0,19,0,0,0,0
2015-06-10,6,3,0,18,0,0,0,0
2015-06-11,5,3,0,19,0,0,0,0
2015-06-12,5,3,0,20,0,0,0,0
2015-06-13,5,3,0,19,0,0,0,0
2015-06-14,5,3,0,19,0,0,0,0
2015-06-15,5,3,0,19,0,0,0,0
2015-06-16,6,3,0,19,0,0,0,0
2015-06-17,6,3,0,17,0,0,0,0
2015-06-18,5,3,0,13,0,0,0,0
2015-06-19,4,3,0,13,0,0,0,0
2015-06-20,4,3,0,13,0,0,0,0
2015-06-21,4,3,0,13,0,0,0,0
2015-06-22,5,4,0,13,0,0,0,0
2015-06-23,5,4,0,13,0,0,0,0
2015-06-24,5,4,0,15,0,0,0,0
2015-06-25,5,4,0,15,0,0,0,0
2015-06-26,101,8,0,22,0,0,0,0
2015-06-27,928,9,0,30,0,0,0,0
2015-06-28,1184,16,0,39,0,0,0,0
2015-06-29,1233,17,0,41,0,0,0,0
2015-06-30,1350,17,0,41,0,0,0,0
2015-07-01,1310,23,0,41,0,0,0,0
2015-07-02,1267,20,0,39,0,0,0,0
2015-07-03,1305,20,0,39,0,0,0,0
2015-07-04,1471,24,0,39,0,0,0,0
2015-07-05,1311,24,0,38,0,0,0,0
2015-07-07,1481,26,0,39,0,0,0,0
2015-07-08,1559,25,0,43,0,0,0,0
2015-07-09,1502,25,0,43,0,0,0,0
2015-07-10,1536,25,0,42,0,0,0,0
2015-07-11,1418,24,0,47,0,0,0,0
2015-07-12,1382,22,0,47,0,0,0,0
2015-07-13,1464,22,0,40,0,0,0,0
2015-07-14,1486,22,0,42,0,0,0,0
2015-07-15,1488,21,0,40,0,0,0,0
2015-07-16,1502,21,0,44,0,0,0,0
2015-07-17,1508,17,0,51,0,0,0,0
