date,databaser,datahantering,datakonstruktion,"data mining",dataformat,"länkade uppgifter",informationsutvinning,stream-processing
2015-05-28,21,2,0,10,0,0,0,10
2015-05-29,25,3,0,9,0,0,0,10
2015-05-30,24,3,0,9,0,0,0,10
2015-05-31,24,3,0,9,0,0,0,10
2015-06-01,23,3,0,9,0,0,0,10
2015-06-02,24,3,0,10,0,0,0,12
2015-06-03,23,3,0,10,0,0,0,12
2015-06-04,23,3,0,10,0,0,0,15
2015-06-05,24,3,0,10,0,0,0,11
2015-06-06,24,3,0,10,0,0,0,11
2015-06-07,23,3,0,9,0,0,0,11
2015-06-08,22,3,0,7,0,0,0,10
2015-06-09,22,3,0,6,0,0,0,10
2015-06-10,23,2,0,5,0,0,0,14
2015-06-11,22,2,0,7,0,0,0,9
2015-06-12,24,2,0,10,0,0,0,9
2015-06-13,24,2,0,10,0,0,0,9
2015-06-14,24,2,0,10,0,0,0,9
2015-06-15,26,2,0,8,0,0,0,7
2015-06-16,27,2,0,8,0,0,0,7
2015-06-17,27,2,0,8,0,0,0,8
2015-06-18,26,2,0,7,0,0,0,7
2015-06-19,25,0,0,6,0,0,0,5
2015-06-20,25,0,0,6,0,0,0,5
2015-06-21,24,0,0,6,0,0,0,5
2015-06-22,25,0,0,6,0,0,0,6
2015-06-23,25,0,0,6,0,0,0,5
