date,Datenbanken,Datenmanagement,Datentechnik,Data-Mining,Datenformate,"Linked Data",Informationsextraktion,Stromverarbeitung
2015-05-28,0,0,0,15,0,0,0,0
2015-05-28,0,0,0,16,0,0,0,0
2015-05-29,0,0,0,16,0,0,0,0
2015-05-30,0,0,0,39,0,0,0,0
2015-05-31,0,0,0,60,0,0,0,0
2015-06-01,0,0,0,60,0,0,0,0
2015-06-02,0,0,0,60,0,0,0,0
2015-06-03,0,0,0,64,0,0,0,0
2015-06-04,0,0,0,65,0,0,0,0
2015-06-05,0,0,0,64,0,0,0,0
2015-06-06,0,0,0,62,0,0,0,0
2015-06-07,0,0,0,62,0,0,0,0
