date,"bases de dados","gestão de dados","engenharia de dados","mineração de dados","formatos de dados","dados ligados","extracção de informação","processamento de fluxo"
2015-05-28,28,0,0,0,0,0,0,0
2015-05-29,37,0,0,0,0,0,0,0
2015-05-30,35,0,0,0,0,0,0,0
2015-05-31,33,0,0,0,0,0,0,0
2015-06-01,29,0,0,0,0,0,0,0
2015-06-02,357,3,0,0,0,0,2,0
2015-06-03,374,6,0,0,0,0,2,0
2015-06-04,408,6,0,0,0,0,3,0
2015-06-05,755,0,0,0,0,0,4,0
2015-06-06,733,7,0,0,0,0,4,0
2015-06-07,738,7,0,0,0,0,4,0
2015-06-08,739,7,0,0,0,0,4,0
2015-06-09,645,8,0,0,0,0,3,0
2015-06-10,570,8,0,0,0,0,3,0
2015-06-11,553,7,0,0,0,0,3,0
2015-06-12,721,7,0,0,0,0,4,0
2015-06-13,719,8,0,0,0,0,3,0
2015-06-14,728,5,0,0,0,0,4,0
2015-06-15,710,5,0,0,0,0,4,0
2015-06-16,686,4,0,0,0,0,4,0
2015-06-17,772,7,0,0,0,0,4,0
2015-06-18,780,7,0,0,0,0,5,0
2015-06-19,756,7,0,0,0,0,5,0
2015-06-20,753,8,0,0,0,0,5,0
2015-06-21,753,7,0,0,0,0,5,0
2015-06-22,706,7,0,0,0,0,5,0
2015-06-23,709,7,0,0,0,0,5,0
2015-06-24,743,8,0,0,0,0,5,0
2015-06-25,731,8,0,0,0,0,5,0
2015-06-26,721,8,0,0,0,0,5,0
2015-06-27,766,7,0,0,0,0,5,0
2015-06-28,780,6,0,0,0,0,5,0
2015-06-29,772,6,0,0,0,0,5,0
2015-06-30,767,2,0,0,0,0,5,0
2015-07-01,776,2,0,0,0,0,5,0
2015-07-02,829,6,0,0,0,0,5,0
2015-07-03,824,3,0,0,0,0,4,0
2015-07-04,819,3,0,0,0,0,3,0
2015-07-05,804,7,0,0,0,0,3,0
2015-07-07,820,7,0,0,0,0,3,0
2015-07-08,839,5,0,0,0,0,3,0
2015-07-09,821,6,0,0,0,0,3,0
2015-07-10,825,6,0,0,0,0,3,0
2015-07-11,833,5,0,0,0,0,3,0
2015-07-12,831,5,0,0,0,0,3,0
2015-07-13,835,4,0,0,0,0,3,0
2015-07-14,830,5,0,0,0,0,3,0
2015-07-15,839,5,0,0,0,0,3,0
2015-07-16,847,6,0,0,0,0,3,0
2015-07-17,855,6,0,0,0,0,3,0
