date,databases,"data management","data engineering","data mining","data formats","linked data","information extraction","stream processing"
2015-03-11,4230,1033,52,213,12,4,6,3
2015-03-12,4820,1039,56,207,13,5,6,5
2015-03-16,4829,1124,55,222,15,6,7,5
2015-03-18,4397,1131,53,219,17,7,8,6
2015-03-18,4338,1143,52,219,17,7,7,6
2015-03-19,4402,1162,52,222,19,7,8,6
2015-03-20,4586,1196,52,224,14,7,7,5
2015-03-21,4575,1202,53,223,14,7,6,5
2015-03-22,4548,1195,53,219,14,7,6,5
2015-03-23,4547,1190,55,220,13,7,6,5
2015-03-24,4321,1189,57,218,13,7,5,5
2015-03-25,4488,1185,56,208,15,8,6,4
2015-03-26,4498,1184,56,206,17,8,6,4
2015-03-27,4393,1197,59,212,16,9,5,4
2015-03-28,4361,1178,58,206,16,10,5,4
2015-03-29,4386,1175,49,204,16,10,5,4
2015-03-30,4349,1184,56,202,14,11,5,4
2015-03-31,4076,1189,50,214,15,11,4,3
2015-04-01,4327,1241,53,207,16,11,5,3
