date,Datenbanken,Datenmanagement,Datentechnik,Data-Mining,Datenformate,"Linked Data",Informationsextraktion,Stromverarbeitung
2015-05-28,0,0,0,225,0,0,0,0
2015-05-28,0,0,0,228,0,0,0,0
2015-05-29,0,0,0,237,0,0,0,0
2015-05-30,0,0,0,233,0,0,0,0
2015-05-31,0,0,0,234,0,0,0,0
2015-06-01,0,0,0,244,0,0,0,0
2015-06-02,0,0,0,242,0,0,0,0
2015-06-03,0,0,0,239,0,0,0,0
2015-06-04,0,0,0,254,0,0,0,0
2015-06-05,0,0,0,252,0,0,0,0
2015-06-06,0,0,0,250,0,0,0,0
2015-06-07,0,0,0,249,0,0,0,0
2015-06-08,0,0,0,256,0,0,0,0
2015-06-09,0,0,0,256,0,0,0,0
2015-06-10,0,0,0,251,0,0,0,0
2015-06-11,0,0,0,252,0,0,0,0
2015-06-12,0,0,0,258,0,0,0,0
2015-06-13,0,0,0,257,0,0,0,0
2015-06-14,0,0,0,256,0,0,0,0
2015-06-15,0,0,0,259,0,0,0,0
2015-06-16,0,0,0,266,0,0,0,0
2015-06-17,0,0,0,259,0,0,0,0
2015-06-18,0,0,0,258,0,0,0,0
2015-06-19,0,0,0,261,0,0,0,0
2015-06-20,0,0,0,253,0,0,0,0
2015-06-21,0,0,0,248,0,0,0,0
2015-06-22,0,0,0,246,0,2,0,0
2015-06-23,0,0,0,255,0,0,0,0
2015-06-24,0,0,0,258,0,0,0,0
2015-06-25,0,0,0,261,0,0,0,0
2015-06-26,0,0,0,356,0,0,0,0
2015-06-27,0,0,0,543,0,2,0,0
