date,"bases de données","gestion des données","ingénierie de données","exploration de données","formats de données","données lié","l&#39;extraction de l&#39;information","traitement de flux"
2015-05-28,0,0,0,0,0,0,0,0
2015-05-28,0,0,0,0,0,0,0,0
2015-05-29,0,0,0,0,0,0,0,0
2015-05-30,0,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0
2015-06-02,0,0,0,0,0,0,0,0
2015-06-03,0,0,0,0,0,0,0,0
2015-06-04,0,0,0,0,0,0,0,0
2015-06-05,0,0,0,0,0,0,0,0
2015-06-06,0,0,0,0,0,0,0,0
2015-06-07,0,0,0,0,0,0,0,0
2015-06-08,0,0,0,0,0,0,0,0
