date,databází,"správa dat","Údaje engineering","získávání dat","datové formáty","spojený údaje","Extrakce informace","Zpracování proud"
2015-05-28,10,0,0,0,0,0,0,0
2015-05-29,11,0,0,0,0,0,0,0
2015-05-30,11,0,0,0,0,0,0,0
2015-05-31,11,0,0,0,0,0,0,0
2015-06-01,11,0,0,0,0,0,0,0
2015-06-02,10,0,0,0,0,0,0,0
2015-06-03,9,0,0,0,0,0,0,0
2015-06-04,9,0,0,0,0,0,0,0
2015-06-05,8,0,0,0,0,0,0,0
2015-06-06,8,0,0,0,0,0,0,0
2015-06-07,8,0,0,0,0,0,0,0
2015-06-08,8,0,0,0,0,0,0,0
2015-06-09,8,0,0,0,0,0,0,0
2015-06-10,7,0,0,0,0,0,0,0
2015-06-11,8,0,0,0,0,0,0,0
2015-06-12,9,0,0,0,0,0,0,0
2015-06-13,9,0,0,0,0,0,0,0
2015-06-14,9,0,0,0,0,0,0,0
2015-06-15,9,0,0,0,0,0,0,0
2015-06-16,9,0,0,0,0,0,0,0
2015-06-17,8,0,0,0,0,0,0,0
2015-06-18,8,0,0,0,0,0,0,0
2015-06-19,7,0,0,0,0,0,0,0
2015-06-20,7,0,0,0,0,0,0,0
