date,adatbázisok,adatkezelés,"adatok mérnöki",adatbányászat,adatformátumokról,"kapcsolódó adatok",információkinyerési,"stream feldolgozó"
2015-05-28,2,0,0,0,0,0,0,0
2015-05-29,2,0,0,0,0,0,0,0
2015-05-30,2,0,0,0,0,0,0,0
2015-05-31,2,0,0,0,0,0,0,0
2015-06-01,2,0,0,0,0,0,0,0
2015-06-02,3,0,0,0,0,0,0,0
2015-06-03,3,0,0,0,0,0,0,0
2015-06-04,3,0,0,0,0,0,0,0
2015-06-05,3,0,0,0,0,0,0,0
2015-06-06,3,0,0,0,0,0,0,0
2015-06-07,3,0,0,0,0,0,0,0
2015-06-08,3,0,0,0,0,0,0,0
2015-06-09,3,0,0,0,0,0,0,0
2015-06-10,3,0,0,0,0,0,0,0
2015-06-11,3,0,0,0,0,0,0,0
2015-06-12,2,0,0,0,0,0,0,0
2015-06-13,2,0,0,0,0,0,0,0
2015-06-14,2,0,0,0,0,0,0,0
2015-06-15,3,0,0,0,0,0,0,0
2015-06-16,3,0,0,2,0,0,0,0
2015-06-17,3,0,0,2,0,0,0,0
2015-06-18,3,0,0,2,0,0,0,0
2015-06-19,3,0,0,2,0,0,0,0
2015-06-20,3,0,0,2,0,0,0,0
2015-06-21,3,0,0,2,0,0,0,0
2015-06-22,3,0,0,2,0,0,0,0
2015-06-23,3,0,0,2,0,0,0,0
2015-06-24,3,0,0,2,0,0,0,0
2015-06-25,2,0,0,2,0,0,0,0
2015-06-26,2,0,0,2,0,0,0,0
2015-06-27,2,0,0,2,0,0,0,0
2015-06-28,2,0,0,2,0,0,0,0
2015-06-29,2,0,0,2,0,0,0,0
2015-06-30,3,0,0,2,0,0,0,0
2015-07-01,3,0,0,2,0,0,0,0
2015-07-02,3,0,0,2,0,0,0,0
2015-07-03,3,0,0,0,0,0,0,0
2015-07-04,3,0,0,0,0,0,0,0
2015-07-05,3,0,0,0,0,0,0,0
2015-07-07,2,0,0,0,0,0,0,0
2015-07-08,2,0,0,0,0,0,0,0
2015-07-09,2,0,0,0,0,0,0,0
2015-07-10,2,0,0,0,0,0,0,0
2015-07-11,2,0,0,0,0,0,0,0
2015-07-12,2,0,0,0,0,0,0,0
2015-07-13,2,0,0,0,0,0,0,0
2015-07-14,3,0,0,0,0,0,0,0
2015-07-15,2,0,0,0,0,0,0,0
2015-07-16,2,0,0,0,0,0,0,0
2015-07-17,3,0,0,0,0,0,0,0
