date,Atos,"Sopra Steria","Dassault Systèmes",Microsoft,Talend,Econocom-Osiatis,Teradata,Micropole,"Orange Business Services",Splunk,"OCTO Technology",Orange,Ysance,"Adobe France","See More",Cisco,"Schneider Electric","Société Générale",Capgemini,IBM,Deloitte,GfK,Criteo,Oracle,EXPERTIME,Thales,"DDN Storage",Cloudera,"Allianz Group","Confidential Company - Undisclosed"
2015-05-27,10,25,9,,8,,,8,7,6,,6,,,6,8,312,33,,6,8,,10,,,,,,,6
2015-05-27,10,25,10,,8,,,8,7,6,,,,,5,8,309,33,,6,8,,10,,,,,5,,6
2015-05-28,10,24,13,,8,,,9,7,6,,,,,5,9,308,33,,6,8,,10,,,,,5,,6
2015-05-28,10,24,13,,8,,,10,7,6,,,,,5,9,308,33,,6,8,,10,,,,,5,,6
2015-05-29,10,23,15,,8,,,6,6,6,,,,,6,9,318,30,,6,8,,10,,,,6,,,6
2015-05-30,10,23,15,,8,,,6,6,6,,,7,,6,9,319,27,,6,8,,10,,,,7,,,
2015-05-31,10,22,15,,8,,,6,6,,,,7,,6,9,320,24,,6,8,,10,,,,7,,,8
2015-06-01,10,22,19,,9,,,10,6,6,,,10,,6,9,320,24,,6,8,,10,,,,7,,,
2015-06-02,11,24,23,,9,,,10,6,6,,,10,5,5,9,320,,,,,,10,,,,,,,
2015-06-03,10,24,22,,9,,,10,,6,,,10,,6,8,322,27,,6,8,,9,,,,8,6,,
2015-06-04,278,23,22,,9,,,10,,,,,10,,6,9,317,27,,6,8,,9,,,6,8,7,,
2015-06-05,278,21,21,,10,,,10,,,,,10,,6,9,316,27,,8,8,,9,,,6,7,7,,
2015-06-06,280,21,21,,10,,,10,,,,,10,,7,9,316,27,,7,8,,9,,,7,7,7,,
2015-06-07,280,21,21,,10,,,10,,,,,10,,7,8,314,24,,7,8,,9,,,7,7,7,,
2015-06-08,281,21,22,,10,,,10,,6,,,,,6,8,311,24,,6,8,,9,,,7,7,7,,
2015-06-09,28,23,22,,8,,,10,,7,,,5,,5,9,311,,,,,,,,,,,6,,
2015-06-10,285,23,21,,8,,,10,,6,,,,,6,,318,26,,8,8,,9,,,7,7,6,6,
2015-06-11,287,25,21,,9,,,10,,6,,,,,5,,321,27,,8,8,,7,5,,6,7,6,,
2015-06-12,287,21,21,,10,,,9,,6,,,5,,5,,322,,,,,,,,,,,,,
2015-06-13,284,21,21,,10,,,9,,6,,,,,5,,316,26,,8,8,,7,5,,7,7,6,,
2015-06-14,285,21,21,,10,5,,9,,5,,,5,,5,,316,,,,,,,,,,,,,
2015-06-15,283,18,22,,10,8,,9,,6,,,,,5,,314,26,,7,8,,8,5,,7,7,,,
2015-06-16,283,17,22,12,10,8,5,9,,6,,,5,5,5,,304,,,,,,,,5,,,,,
2015-06-17,286,17,22,12,11,11,,9,,9,,,,,7,,304,23,,8,8,,8,,,7,7,,,
2015-06-18,285,21,21,13,11,11,5,8,,9,,,5,6,5,,298,,,,,,,,5,,,,,
2015-06-19,285,22,22,13,12,11,,8,,,,,,,6,6,300,26,20,8,8,,8,6,,,,,,
2015-06-20,287,19,22,13,12,11,,8,,,,,,,6,6,301,25,20,8,8,,8,6,,,,,,
2015-06-21,286,19,22,13,12,11,6,8,,5,,,5,,5,5,310,,,,,,,,5,,,,,
2015-06-22,287,34,23,13,12,10,,8,,,,,,7,6,,310,25,20,8,8,,8,6,,,,,,
2015-06-23,287,35,23,13,12,10,6,8,,,,,5,7,5,6,310,,,,,,,,,,,,,
2015-06-24,297,34,23,13,11,10,6,8,5,,,,5,6,5,6,309,,,,,,,,,,,,,
2015-06-25,293,33,23,13,11,10,6,8,,,,,,,6,6,307,27,,8,8,6,7,,,,,,,
2015-06-26,293,29,22,13,11,10,,9,,9,,,,,6,6,307,26,,8,8,7,7,,,,,,,
2015-06-27,298,29,22,13,12,8,6,8,,,,,,,6,6,306,21,,8,8,7,7,,,,,,,
2015-06-28,296,29,22,13,12,8,6,8,5,5,,,6,6,5,6,307,,,,,,,,,,,,,
2015-06-29,300,27,21,13,12,8,,9,,,,6,,,6,6,306,23,,8,8,7,7,,,,,,,
2015-06-30,300,33,22,13,11,8,8,9,,,,,,,7,,298,23,20,8,8,7,7,,,,,,,
2015-07-01,291,43,21,14,11,8,10,5,5,6,,6,6,5,5,6,,,,,,,,,,,,,,
2015-07-02,303,49,21,14,11,8,9,9,5,7,,7,6,5,5,6,,,,,,,,,,,,,,
2015-07-03,303,49,18,13,12,9,9,9,7,9,,7,6,6,6,6,,,,,,,,,,,,,,
2015-07-04,303,49,18,13,12,9,8,9,7,9,,7,6,6,6,6,,,,,,,,,,,,,,
