date,"Tableau Software",Apple,Tyco,"DIGIT Game Studios",Aon,"Aon Centre for Innovation and Analytics (ACIA)",LinkedIn
2015-05-28,12,,,,,,
2015-05-29,12,,,,,,
2015-05-30,12,,,,,,
2015-05-31,12,,,,,,
2015-06-01,12,,,,,,
2015-06-02,12,,,,,,
2015-06-03,12,,,5,,,
2015-06-04,13,,,5,,,
2015-06-05,12,,,5,,,5
2015-06-06,12,,,5,,,5
2015-06-07,12,,,5,,,5
2015-06-08,12,,,5,,,5
2015-06-09,10,,,5,,,5
2015-06-10,10,,,5,,,5
2015-06-11,9,,,5,,,
2015-06-12,9,,,5,,,
2015-06-13,9,,,5,,,
2015-06-14,9,,,5,,,
2015-06-15,9,,,5,,,
2015-06-16,7,,,5,,,
2015-06-17,7,,,5,,,
2015-06-18,7,,,5,,,
2015-06-19,6,,,5,,5,
2015-06-20,5,,,5,,5,
2015-06-21,6,,,5,,5,
2015-06-22,6,,,5,,5,
2015-06-23,6,,,5,,5,
2015-06-24,7,5,,5,,5,
2015-06-25,7,5,,5,,5,
2015-06-26,10,6,,5,,5,
2015-06-27,10,6,,5,,,
2015-06-28,10,,,6,,,
2015-06-29,10,5,,6,,,
2015-06-30,12,5,,6,,,
2015-07-01,11,8,,6,5,,
2015-07-02,10,7,6,6,,,
2015-07-03,10,6,6,5,,,
2015-07-04,10,8,6,5,,,
2015-07-05,10,8,6,5,,,
2015-07-07,9,8,8,5,,,
2015-07-08,10,8,8,,,,
2015-07-09,8,6,8,,,,
2015-07-10,8,7,8,,,,
2015-07-11,8,7,8,,,,
2015-07-12,8,7,8,,,,
2015-07-13,8,7,8,,,,
2015-07-14,8,7,9,,,,
2015-07-15,10,8,9,,,,
2015-07-16,11,9,9,,,,
2015-07-17,11,8,9,,,,
2015-07-18,11,8,9,,,,
2015-07-19,11,8,9,5,,,
2015-07-20,11,8,9,5,,,
2015-07-21,11,9,9,5,,,
2015-07-22,11,9,9,,,,
