date,"Austria area"
2015-05-28,31
2015-05-28,31
2015-05-29,33
2015-05-30,33
2015-05-31,34
2015-06-01,34
2015-06-02,34
2015-06-03,32
2015-06-04,28
2015-06-05,28
2015-06-06,28
2015-06-07,28
2015-06-08,27
2015-06-09,27
2015-06-10,25
2015-06-11,25
2015-06-12,24
2015-06-13,24
2015-06-14,24
2015-06-15,25
2015-06-16,25
2015-06-17,29
2015-06-18,27
2015-06-19,26
2015-06-20,27
2015-06-21,27
2015-06-22,26
2015-06-23,30
2015-06-24,31
2015-06-25,32
2015-06-26,31
2015-06-27,31
2015-06-28,30
2015-06-29,29
2015-06-30,30
2015-07-01,26
2015-07-02,13
2015-07-03,13
2015-07-04,13
2015-07-05,13
2015-07-07,15
2015-07-08,16
2015-07-09,15
2015-07-10,15
2015-07-11,14
2015-07-12,14
2015-07-13,13
2015-07-14,13
2015-07-15,12
2015-07-16,11
2015-07-17,11
2015-07-18,11
2015-07-19,11
