date,Copenhagen,"Central Region"
2015-05-28,12,
2015-05-29,11,
2015-05-30,11,
2015-05-31,9,
2015-06-01,11,
2015-06-02,9,
2015-06-03,9,
2015-06-04,7,
2015-06-05,7,
2015-06-06,7,
2015-06-07,7,
2015-06-08,6,
2015-06-09,6,
2015-06-10,7,
2015-06-11,7,
2015-06-12,9,
2015-06-13,9,
2015-06-14,9,
2015-06-15,10,
2015-06-16,10,
2015-06-17,9,
2015-06-18,9,
2015-06-19,9,
2015-06-20,9,
2015-06-21,9,
2015-06-22,9,
2015-06-23,9,
2015-06-24,9,
2015-06-25,10,
2015-06-26,11,
2015-06-27,12,
2015-06-28,14,
2015-06-29,14,
2015-06-30,14,
2015-07-01,13,
2015-07-02,12,
2015-07-03,12,
2015-07-04,12,
2015-07-05,12,
2015-07-07,16,
2015-07-08,16,
2015-07-09,15,
2015-07-10,15,
2015-07-11,15,5
2015-07-12,14,5
2015-07-13,13,5
2015-07-14,16,5
2015-07-15,16,5
2015-07-16,14,5
2015-07-17,14,
2015-07-18,16,
