date,Booking.com,Fugro,"ING Nederland",Microsoft,"Nováccent Group",Rijksoverheid,Qualogy,"PHP Professionals","Schneider Electric",Cisco,Atos,"Vancis B.V.","The SearchLite","Java Professionals",IBM,Accenture,"See More",Spinweb,bol.com,Belastingdienst,Coolblue,"SoftLayer, an IBM Company","CGI Nederland",EY,"comScore, Inc."
2015-05-28,10,12,,,,13,,,,5,,,,,,,5,,,,5,6,5,,8
2015-05-28,10,12,,,,13,,,,5,,,,,,,5,,,,5,6,5,,8
2015-05-29,11,11,,,,20,,,,5,,,,,,,5,,,,5,6,5,,8
2015-05-30,11,11,,,,20,,,,5,,,,,,,5,,,,5,6,5,,8
2015-05-31,11,11,,,,20,,,,5,,,,,,,5,,7,,5,6,5,,8
2015-06-01,10,5,,,,28,,,,6,,,,,,,5,,6,,5,6,5,,8
2015-06-02,10,,,,,27,,,,6,,,,,,,5,,7,,5,7,5,,8
2015-06-03,10,,,,,26,,,,6,,,,,,,5,,7,,5,7,5,,8
2015-06-04,11,,,,,29,,,,6,,,,,,,5,,7,,5,7,5,,8
2015-06-05,10,,,,,32,,,,6,,,,,,,5,,7,,5,7,5,,6
2015-06-06,10,,,,,32,,,,6,,,,,,,5,,6,,5,7,5,,6
2015-06-07,10,,,,,32,,,,6,,,,,,,5,,6,,5,7,5,,6
2015-06-08,10,,,,,33,,,,6,,,,,,,5,,8,,5,7,5,5,6
2015-06-09,9,,,,,33,,,,6,,,,,,,5,,8,,5,7,5,5,6
2015-06-10,9,,,,,33,,,,,,,,,,,5,,8,,5,7,5,5,5
2015-06-11,9,,,,,32,,,,,,,,,,,5,,7,,5,7,5,5,5
2015-06-12,10,,,,,35,,,,5,,,,,,5,5,,8,,5,7,5,5,
2015-06-13,10,,,,,35,,,,5,,,,,,5,5,,8,,5,7,5,5,
2015-06-14,10,,,,,35,,,,5,,,,,,5,5,,8,,5,7,5,5,
2015-06-15,10,,,,,33,,,,5,,,,,,5,5,,8,,5,6,5,5,
2015-06-16,10,5,,,,32,,,,5,,,,,,6,5,,8,,5,6,5,5,
2015-06-17,10,12,,,,28,,,,5,,,,,,5,5,,8,,5,6,5,5,
2015-06-18,8,12,,,,28,,,,7,,,,,,5,5,,8,,5,6,5,,
2015-06-19,8,13,,,,29,,,,8,,,,,,5,5,,7,,5,6,5,,
2015-06-20,8,13,,,,29,,,,8,,,,,,5,5,,7,,5,6,,,
2015-06-21,8,13,,,,29,,,,8,,,,,,5,5,,7,,5,6,,,
2015-06-22,8,12,,,,24,,,,8,,,,,,5,5,,7,,5,5,,,
2015-06-23,8,15,,,,26,,,,6,,,,,,5,5,,9,,5,5,,,
2015-06-24,8,15,,,,24,,,,8,,,,,,5,5,,9,,5,5,,,
2015-06-25,8,15,,,,25,,,,8,,,,,,5,5,,9,,5,5,,,
2015-06-26,8,16,,,,32,11,12,,10,14,,5,,,5,5,,9,7,5,5,,,
2015-06-27,8,16,,,37,32,15,23,11,10,14,12,8,9,8,,7,7,9,,,,,,
2015-06-28,8,16,,,43,32,23,23,14,15,13,12,8,9,8,,7,7,9,,,,,,
2015-06-29,10,16,,,49,32,24,23,15,14,14,12,11,10,7,,7,7,9,,,,,,
2015-06-30,10,15,,,49,29,25,23,20,14,14,12,11,10,7,7,7,7,,,,,,,
2015-07-01,10,15,10,,49,29,27,23,20,14,14,12,11,10,9,7,7,,,,,,,,
2015-07-02,7,14,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,7,13,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,7,13,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,7,13,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,7,14,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,7,14,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,7,14,,5,,,,,,,,,,,,,,,,,,,,,
2015-07-10,9,13,,7,,,,,,,,,,,,,,,,,,,,,
2015-07-11,9,13,5,6,,,,,,,,,,,,,,,,,,,,,
2015-07-12,9,13,5,6,,,,,,,,,,,,,,,,,,,,,
2015-07-13,9,13,5,6,,,,,,,,,,,,,,,,,,,,,
2015-07-14,10,13,,8,,,,,,,,,,,,,,,,,,,,,
2015-07-15,10,13,,7,,,,,,,,,,,,,,,,,,,,,
2015-07-16,10,13,,8,,,,,,,,,,,,,,,,,,,,,
2015-07-17,10,12,,9,,,,,,,,,,,,,,,,,,,,,
2015-07-18,10,12,,9,,,,,,,,,,,,,,,,,,,,,
2015-07-19,10,12,,9,,,,,,,,,,,,,,,,,,,,,
2015-07-20,10,10,5,9,,,,,,,,,,,,,,,,,,,,,
2015-07-21,10,10,5,,,,,,,,,,,,,,,,,,,,,,
