date,"Gfi Informatique",Thales,Alcatel-Lucent,"Confidential Company - Undisclosed","Sopra Steria","Airbus Group"
2015-05-27,,8,,10,,7
2015-05-27,,8,,10,,7
2015-05-28,,8,,10,,7
2015-05-28,,8,,10,,7
2015-05-29,,7,,10,,7
2015-05-30,,7,,12,,7
2015-05-31,,7,,12,,7
2015-06-01,,7,,7,,7
2015-06-02,16,11,,7,,7
2015-06-03,16,8,,10,,7
2015-06-04,17,8,,10,,7
2015-06-05,17,8,,5,,7
2015-06-06,17,7,,8,,7
2015-06-07,17,7,,9,,7
2015-06-08,17,12,,9,,7
2015-06-09,17,13,,6,,7
2015-06-10,,12,,,,
2015-06-11,17,13,,5,,7
2015-06-12,17,16,,8,,8
2015-06-13,17,16,,9,,7
2015-06-14,17,16,,5,,7
2015-06-15,,16,,,,
2015-06-16,,16,,,,
2015-06-17,17,17,,6,,
2015-06-18,17,16,5,6,,
2015-06-19,,16,5,,,
2015-06-20,17,16,5,8,,
2015-06-21,17,17,5,6,,
2015-06-22,17,13,5,6,,
2015-06-23,,13,5,,,
2015-06-25,,14,5,,,
2015-06-26,,12,5,,,
2015-06-27,,12,5,8,,
2015-06-28,,12,5,8,,
2015-06-29,12,10,5,8,,
2015-06-30,,13,5,,5,
2015-07-01,15,13,5,5,,
2015-07-02,,12,5,,,
2015-07-03,,12,5,,,
2015-07-04,,13,5,,,
2015-07-05,,13,5,,,
2015-07-06,,11,5,,,
2015-07-07,,11,5,,,
2015-07-08,,10,5,,,
2015-07-09,,9,5,,,
2015-07-10,,10,5,,,
2015-07-11,,9,5,,,
2015-07-12,,9,5,,,
2015-07-13,,9,5,,,
2015-07-14,,9,5,,,
2015-07-15,,9,5,,,
2015-07-16,,9,5,,,
2015-07-17,,10,5,,,
2015-07-18,,9,5,,,
2015-07-19,,9,5,,,
2015-07-20,15,10,5,,,
