date,Microsoft,Salesforce,Ysance,Thales,"NEO-SOFT Services",VCE,Oodrive,VMware,Amazon,"Amazon UK",Capgemini,"See More",Gemalto,"Hitachi Data Systems","Huawei Technologies","Confidential Company - Undisclosed"
2015-05-27,,6,,,16,,5,21,9,8,,5,6,,5,
2015-05-27,,6,,,16,,5,21,9,8,,5,6,,5,
2015-05-28,,6,,,16,,5,21,9,8,,5,6,,5,
2015-05-28,,5,,,16,,5,21,9,8,,5,6,,5,
2015-05-29,,6,5,,16,,5,21,9,8,,5,6,,5,
2015-05-30,,6,7,,,,5,20,,,,5,6,,5,
2015-05-31,,6,7,,16,,5,21,9,8,,5,6,,5,
2015-06-01,,7,10,,9,,5,21,9,9,,5,6,,5,
2015-06-02,,6,10,,,,5,19,9,9,,5,6,,5,
2015-06-03,,13,10,,,,5,18,9,7,,5,6,,5,5
2015-06-04,,12,10,,,,5,20,9,7,,5,8,,6,5
2015-06-05,,13,10,,,,5,19,10,6,,5,8,,6,
2015-06-06,,13,10,,,,5,18,10,6,,5,5,,6,
2015-06-07,,13,10,,,,5,18,10,6,,5,5,,6,
2015-06-08,,12,5,,,,5,19,10,6,,5,7,,,
2015-06-09,6,14,5,,,,5,18,10,6,,5,6,5,,
2015-06-10,6,12,5,,,,5,,,,,5,7,5,5,
2015-06-11,6,12,5,,,,5,,,,,5,7,,5,
2015-06-12,6,11,5,,,5,5,,,,,5,6,,,
2015-06-13,6,11,5,,6,5,5,17,10,7,,5,6,,,
2015-06-14,6,11,5,,6,5,5,16,10,7,,5,6,,,
2015-06-15,6,11,5,,,5,5,17,10,7,,5,6,6,,
2015-06-16,16,10,5,,,5,5,17,10,7,,5,6,6,,
2015-06-17,16,11,5,,,5,5,19,,,,5,5,6,,
2015-06-18,17,11,5,,,6,5,17,,,,5,5,,,
2015-06-19,17,15,5,,,6,5,16,9,5,5,5,5,,,
2015-06-20,17,15,5,,,6,5,,,,,5,5,,,
2015-06-21,17,15,5,,,6,5,15,9,6,5,5,5,,,
2015-06-22,17,14,5,,,6,5,15,9,6,5,5,5,,,
2015-06-23,17,14,5,,,6,5,,,,,5,5,,,
2015-06-24,17,15,5,,,6,5,15,9,6,5,5,5,,,
2015-06-25,17,16,5,,,6,5,,,,,,,,,
2015-06-26,17,15,5,,,6,5,,,,,,,,,
2015-06-27,17,15,6,,,6,5,14,9,6,,5,,,,
2015-06-28,17,15,6,,,6,5,14,9,6,,5,,,,
2015-06-29,17,16,6,,,6,5,14,9,7,,5,,,,
2015-06-30,17,14,6,,,6,5,,,,,,,,,
2015-07-01,18,14,6,,,6,5,12,9,7,5,5,,,,
2015-07-02,18,16,6,,,6,5,,,,,,,,,
2015-07-03,18,16,6,,,6,5,,,,,,,,,
2015-07-04,18,16,6,,,6,5,,,,,,,,,
2015-07-05,18,16,5,,,6,5,,,,,,,,,
2015-07-06,18,16,5,,,6,,,,,,,,,,
2015-07-07,18,16,6,,,6,,,,,,,,,,
2015-07-08,19,15,6,,,6,,,,,,,,,,
2015-07-09,20,13,8,,5,6,,,,,,,,,,
2015-07-10,18,14,8,,5,6,,,,,,,,,,
2015-07-11,18,13,8,,5,6,,,,,,,,,,
2015-07-12,18,13,8,,6,,,,,,,,,,,
2015-07-13,18,14,8,,6,,,,,,,,,,,
2015-07-14,18,14,8,,6,,,,,,,,,,,
2015-07-15,18,13,7,,6,,,,,,,,,,,
2015-07-16,18,13,7,,6,,,,,,,,,,,
2015-07-17,18,13,5,5,6,,,,,,,,,,,
2015-07-18,18,13,5,5,6,,,,,,,,,,,
2015-07-19,18,13,5,5,6,,,,,,,,,,,
2015-07-20,18,15,5,5,6,,,,,,,,,,,
2015-07-21,18,13,5,5,5,,,,,,,,,,,
