date,Stockholm,Uppsala
2015-06-24,5,
2015-06-25,6,
2015-06-26,6,
2015-06-27,7,
2015-06-28,6,
2015-06-29,7,
2015-06-30,7,
2015-07-01,8,10
2015-07-02,7,6
2015-07-03,7,6
2015-07-04,7,6
2015-07-05,9,7
2015-07-06,9,7
2015-07-07,10,7
2015-07-08,10,11
2015-07-09,8,7
2015-07-10,12,7
2015-07-11,13,11
2015-07-12,12,11
2015-07-13,12,11
2015-07-14,12,11
2015-07-15,11,11
