date,Deloitte,Indra,Microsoft,"Business Integration Partners",Oracle,SAS
2015-05-28,10,,,,,
2015-05-29,10,,,,,
2015-05-30,10,,,,,
2015-05-31,10,,,,,
2015-06-01,10,,,,,
2015-06-02,9,,,,,
2015-06-03,9,,,,,
2015-06-04,5,,,,5,
2015-06-05,9,,,,7,5
2015-06-06,9,,,,7,5
2015-06-07,9,,,,7,5
2015-06-08,10,,,,,
2015-06-09,11,5,,,7,7
2015-06-10,10,5,,,,
2015-06-11,11,5,,,5,7
2015-06-12,9,5,,,5,7
2015-06-13,9,5,,,,
2015-06-14,9,5,,,,7
2015-06-15,9,5,,,,
2015-06-16,9,6,,,,
2015-06-17,9,6,,,,
2015-06-18,9,6,,,,
2015-06-19,9,6,,,,
2015-06-20,9,6,,,5,7
2015-06-21,9,6,,,,
2015-06-22,9,6,,,,
2015-06-23,9,6,,,6,6
2015-06-24,9,6,,,,
2015-06-25,9,6,,,,
2015-06-26,9,6,,,5,
2015-06-27,9,6,,,5,
2015-06-28,8,6,,,5,
2015-06-29,8,6,,,,
2015-06-30,8,6,,,5,6
2015-07-01,8,6,,,5,6
2015-07-02,8,8,,,6,
2015-07-03,8,9,,,,
2015-07-04,8,9,,,,
2015-07-05,9,9,,,,
2015-07-07,9,9,,,,
2015-07-08,9,9,,,,
2015-07-09,9,8,,,,
2015-07-10,10,8,,,,
2015-07-11,10,7,,,,
2015-07-12,10,7,,,,
2015-07-13,10,8,,,,
2015-07-14,9,8,,,,
2015-07-15,9,8,,,,
2015-07-16,9,7,5,5,,
2015-07-17,9,9,5,5,,
2015-07-18,9,9,5,5,,
2015-07-19,9,9,5,,,
2015-07-20,9,9,5,,,
2015-07-21,9,9,5,,,
2015-07-22,9,9,,,,
2015-07-23,9,9,,,,
