date,"Sopra Steria",Deloitte,"SEGULA Technologies","Confidential Company - Undisclosed","Veolia Energy",Atos,"Gfi Informatique","Alstom Group",Capgemini,"See More","Schneider Electric","Crédit Agricole"
2015-05-27,,10,,41,,,,5,,,5,7
2015-05-27,,10,,41,,,,5,,,5,7
2015-05-28,,10,,41,5,,,5,,5,5,7
2015-05-28,,10,,41,5,,,5,,5,5,7
2015-05-29,,10,,43,6,,,5,,5,5,7
2015-05-30,,10,,55,6,,,5,,,5,
2015-05-31,,10,,53,7,,,5,,,5,
2015-06-01,,10,,,,,,,,,,
2015-06-02,,10,,46,8,,5,5,,5,5,
2015-06-03,,10,,49,8,,5,,,,5,
2015-06-04,,10,,49,8,7,5,,,5,5,
2015-06-05,,10,,42,7,7,6,,,5,5,
2015-06-06,,10,,,,,,,,,,
2015-06-07,,10,,42,7,7,6,,,5,5,
2015-06-08,,10,,42,8,7,6,,,,,
2015-06-09,,10,,47,8,7,6,,,,,
2015-06-10,,10,,44,8,7,6,,,,,
2015-06-11,,10,,44,8,7,6,,,,,
2015-06-12,,10,,,,,,,,,,
2015-06-13,,10,,,,,,,,,,
2015-06-14,,10,,,,,,,,,,
2015-06-15,,10,,51,8,7,6,,,,,
2015-06-16,,10,,48,8,7,6,,,,,
2015-06-17,,10,,,,,,,,,,
2015-06-18,,10,,46,8,7,6,,5,5,,
2015-06-19,,10,,,,,,,,,,
2015-06-20,,10,,46,8,7,6,5,5,5,,
2015-06-21,,10,,,,,,,,,,
2015-06-22,,10,,48,8,7,6,5,5,5,,
2015-06-23,,10,,,,,,,,,,
2015-06-24,,10,,,,,,,,,,
2015-06-25,,10,,,,,,,,,,
2015-06-26,,10,,43,11,7,,6,,,,
2015-06-27,,10,,,,,,,,,,
2015-06-28,,10,,,,,,,,,,
2015-06-29,,10,,51,11,7,6,6,,6,,
2015-06-30,,9,,50,11,7,6,6,5,5,,
2015-07-01,14,,,,,,,,,,,
2015-07-02,14,,,,,,,,,,,
2015-07-03,14,,,,,,,,,,,
2015-07-04,14,,,,,,,,,,,
2015-07-05,14,,,,,,,,,,,
2015-07-07,14,,,,,,,,,,,
2015-07-08,20,8,,,,,,,,,,
2015-07-09,14,8,,,,,,,,,,
2015-07-10,14,8,,,,,,,,,,
2015-07-11,20,8,,,,,,,,,,
2015-07-12,20,8,,,,,,,,,,
2015-07-13,20,8,,,,,,,,,,
2015-07-14,20,8,,,,,,,,,,
2015-07-15,20,8,,,,,,,,,,
2015-07-16,20,8,,,,,,,,,,
2015-07-17,20,8,,,,,,,,,,
2015-07-18,20,8,,,,,,,,,,
2015-07-19,20,8,,,,,,,,,,
2015-07-20,19,8,,,,,,,,,,
2015-07-21,19,8,5,,,,,,,,,
2015-07-22,19,8,5,,,,,,,,,
